District,Year,Total Income
BANGALORE RURAL,2015,15736.65058
BANGALORE RURAL,2016,16571.37082
BANGALORE RURAL,2017,17160.66895
BANGALORE RURAL,2018,12273.41683
BANGALORE RURAL,2019,14122.6487
BANGALORE RURAL,2020,5005.576264
BANGALORE RURAL,2021,12159.00576
BANGALORE RURAL,2022,23668.09933
BANGALORE RURAL,2023,10616.93664
BANGALORE RURAL,2024,26052.42163
BANGALORE RURAL,2025,45088.23405
BANKA,2014,9379.115605
BANKA,2015,11259.82611
BANKA,2016,12499.34843
BANKA,2017,11549.68964
BANKA,2018,11310.35106
BANKA,2019,11055.59247
BANKA,2020,6402.093497
BANKA,2021,9485.646736
BANKA,2022,10280.35256
BANKA,2023,6288.173959
BANKA,2024,11322.43348
BANKA,2025,12919.61813
BANKURA,2014,6982.546845
BANKURA,2015,7034.585948
BANKURA,2016,8231.547725
BANKURA,2017,7609.592441
BANKURA,2018,7671.140146
BANKURA,2019,9175.573985
BANKURA,2020,1319.588849
BANKURA,2021,3143.31348
BANKURA,2022,5375.05399
BANKURA,2023,3904.208956
BANKURA,2024,5470.461808
BANKURA,2025,14644.68347
BANSWARA,2014,7100.168986
BANSWARA,2015,9477.138639
BANSWARA,2016,9935.130163
BANSWARA,2017,8565.037474
BANSWARA,2018,12353.33223
BANSWARA,2019,13186.69086
BANSWARA,2020,11199.28867
BANSWARA,2021,8191.228786
BANSWARA,2022,3753.135179
BANSWARA,2023,12726.53962
BANSWARA,2024,34913.46537
BANSWARA,2025,26313.05858
BARA BANKI,2014,17362.89846
BARA BANKI,2015,12895.01129
BARA BANKI,2016,9315.331192
BARA BANKI,2017,8563.993852
BARA BANKI,2018,11477.93289
BARA BANKI,2019,12108.46615
BARA BANKI,2020,10927.62496
BARA BANKI,2021,6634.789384
BARA BANKI,2022,10713.73633
BARA BANKI,2023,6401.774989
BARA BANKI,2024,22167.33096
BARA BANKI,2025,33209.26293
BARAMULA,2014,14941.33648
BARAMULA,2015,15723.03404
BARAMULA,2016,10602.14306
BARAMULA,2017,17115.56042
BARAMULA,2018,25237.75244
BARAMULA,2019,18535.09481
BARAMULA,2020,12963.21118
BARAMULA,2021,20978.21648
BARAMULA,2022,21297.61606
BARAMULA,2023,19417.01445
BARAMULA,2024,24484.40272
BARAMULA,2025,27357.80245
BARAN,2017,19126.26013
BARAN,2018,16226.12507
BARAN,2019,6528.683349
BARAN,2020,5220.013154
BARAN,2021,6095.593205
BARAN,2022,4189.850442
BARAN,2023,8487.810596
BARAN,2024,6631.822759
BARAN,2025,20336.93843
BARDDHAMAN,2014,8466.798294
BARDDHAMAN,2015,9234.38669
BARDDHAMAN,2016,10187.35378
BARDDHAMAN,2017,9662.281789
BARDDHAMAN,2018,10233.17741
BARDDHAMAN,2019,12219.48745
BARDDHAMAN,2020,2808.624866
BARDDHAMAN,2021,5053.709735
BARDDHAMAN,2022,7172.623698
BARDDHAMAN,2023,5939.858749
BARDDHAMAN,2024,11618.69914
BARDDHAMAN,2025,14163.13064
BAREILLY,2014,7243.663002
BAREILLY,2015,8466.322064
BAREILLY,2016,11016.91219
BAREILLY,2017,12623.84964
BAREILLY,2018,14506.24627
BAREILLY,2019,13700.09158
BAREILLY,2020,9753.90161
BAREILLY,2021,10091.87442
BAREILLY,2022,10694.39205
BAREILLY,2023,9061.699515
BAREILLY,2024,14296.04841
BAREILLY,2025,14021.68694
BARGARH,2017,5458.337198
BARGARH,2018,7799.413465
BARGARH,2019,7212.164744
BARGARH,2020,2142.023928
BARGARH,2021,2512.550862
BARGARH,2022,3664.762545
