District,Year,ADJ_TOT_EXP
BANSWARA,2019,27478949
BANSWARA,2020,24057759
BANSWARA,2021,16339920
BANSWARA,2022,8750019
BANSWARA,2023,14016457
BANSWARA,2024,30702689
BANSWARA,2025,7872541
BARA BANKI,2014,8987815
BARA BANKI,2015,9588919
BARA BANKI,2016,7405554
BARA BANKI,2017,5501888
BARA BANKI,2018,4216581
BARA BANKI,2019,5962532
BARA BANKI,2020,5239015
BARA BANKI,2021,3237924
BARA BANKI,2022,5288434
BARA BANKI,2023,2993249
BARA BANKI,2024,11042041
BARA BANKI,2025,6192002
BARAMULA,2014,24336085
BARAMULA,2015,29488718
BARAMULA,2016,20526926
BARAMULA,2017,27379818
BARAMULA,2018,35451431
BARAMULA,2019,20741460
BARAMULA,2020,12254150
BARAMULA,2021,23454973
BARAMULA,2022,31966656
BARAMULA,2023,32862936
BARAMULA,2024,76496128
BARAMULA,2025,31860848
BARAN,2017,7268482
BARAN,2018,13526278
BARAN,2019,5932808
BARAN,2020,3888635
BARAN,2021,4506272
BARAN,2022,3100342
BARAN,2023,7511360
BARAN,2024,6394174
BARAN,2025,5468771
BARDDHAMAN,2014,95549158
BARDDHAMAN,2015,107386525
BARDDHAMAN,2016,118711861
BARDDHAMAN,2017,117520566
BARDDHAMAN,2018,137333615
BARDDHAMAN,2019,148715938
BARDDHAMAN,2020,32850948
BARDDHAMAN,2021,46977841
BARDDHAMAN,2022,82844575
BARDDHAMAN,2023,88382815
BARDDHAMAN,2024,140815215
BARDDHAMAN,2025,56888466
BAREILLY,2014,50857634
BAREILLY,2015,54837829
BAREILLY,2016,59762631
BAREILLY,2017,67099298
BAREILLY,2018,66567063
BAREILLY,2019,58138396
BAREILLY,2020,49391835
BAREILLY,2021,61039142
BAREILLY,2022,61760206
BAREILLY,2023,55523426
BAREILLY,2024,68528764
BAREILLY,2025,24278609
BARGARH,2017,3501531
BARGARH,2018,9093535
BARGARH,2019,9120064
BARGARH,2020,3413984
BARGARH,2021,3400760
BARGARH,2022,5044359
BARGARH,2023,12416191
BARGARH,2024,18587369
BARGARH,2025,7327027
BARMER,2014,14166548
BARMER,2015,13126217
BARMER,2016,13113428
BARMER,2017,11367105
BARMER,2018,15540382
BARMER,2019,17836698
BARMER,2020,21258782
BARMER,2021,16001963
BARMER,2022,5719833
BARMER,2023,7203163
BARMER,2024,9223580
BARMER,2025,-46530
BARNALA,2014,3446316
BARNALA,2015,2772514
BARNALA,2016,3546869
BARNALA,2017,13788569
BARNALA,2018,23718881
BARNALA,2019,19919608
BARNALA,2020,12515074
BARNALA,2021,14992634
BARNALA,2022,17282657
BARNALA,2023,18463803
BARNALA,2024,22619050
BARNALA,2025,8344180
BARWANI,2014,2697973
BARWANI,2015,2711656
BARWANI,2016,2780752
BARWANI,2017,5563588
BARWANI,2018,12181949
BARWANI,2019,13822266
BARWANI,2020,15188007
BARWANI,2021,21719998
BARWANI,2022,21251294
BARWANI,2023,14248866
BARWANI,2024,20899062
BARWANI,2025,1502664
BASTAR,2014,2425336
BASTAR,2015,183296
BASTAR,2016,555942
BASTAR,2017,-12672
BASTAR,2023,2489086
BASTAR,2024,3779858
BASTAR,2025,6465868
BASTI,2014,55249374
BASTI,2015,49835631
BASTI,2016,56795676
BASTI,2017,62555672
BASTI,2018,69797462
BASTI,2019,81465534
BASTI,2020,67325876
BASTI,2021,87034072
BASTI,2022,93096535
BASTI,2023,100241247
BASTI,2024,98897988
BASTI,2025,38032965
BATHINDA,2014,34281651
BATHINDA,2015,38072302
BATHINDA,2016,35463582
BATHINDA,2017,76632804
BATHINDA,2018,114251852
BATHINDA,2019,100032670
BATHINDA,2020,66769299
BATHINDA,2021,68899358
BATHINDA,2022,69829240
BATHINDA,2023,97904847
BATHINDA,2024,141070757
BATHINDA,2025,53580619
BEGUSARAI,2014,20061432
BEGUSARAI,2015,24316867
BEGUSARAI,2016,32148610
BEGUSARAI,2017,38064409
BEGUSARAI,2018,56050427
BEGUSARAI,2019,59304164
BEGUSARAI,2020,40706221
BEGUSARAI,2021,55714647
BEGUSARAI,2022,56209092
BEGUSARAI,2023,53216492
BEGUSARAI,2024,34817292
BEGUSARAI,2025,16934548
BELGAUM,2014,56875406
BELGAUM,2015,60601835
BELGAUM,2016,64602573
BELGAUM,2017,87018873
BELGAUM,2018,85541585
BELGAUM,2019,95532332
BELGAUM,2020,63996872
BELGAUM,2021,55501688
BELGAUM,2022,84640176
BELGAUM,2023,153493370
BELGAUM,2024,82299067
BELGAUM,2025,36735043
BELLARY,2014,4230807
BELLARY,2015,2607935
BELLARY,2016,2764605
BELLARY,2017,3826904
BELLARY,2018,6123116
BELLARY,2019,6402719
BELLARY,2020,4473286
BELLARY,2021,6801216
BELLARY,2022,10214912
BELLARY,2023,9061983
BELLARY,2024,8753554
BELLARY,2025,5836119
BETUL,2014,3568760
BETUL,2015,1901493
BETUL,2016,2035038
BETUL,2017,4576890
BETUL,2018,7729453
BETUL,2019,11253799
BETUL,2020,10372051
BETUL,2021,11978101
BETUL,2022,11497389
BETUL,2023,4507435
BETUL,2024,10325676
BETUL,2025,1158365
BHADRAK,2017,2003527
BHADRAK,2018,8404225
BHADRAK,2019,9124082
BHADRAK,2020,2609853
BHADRAK,2021,2302755
BHADRAK,2022,2982536
BHADRAK,2023,8646685
BHADRAK,2024,11399779
BHADRAK,2025,709551
BHAGALPUR,2014,58386155
BHAGALPUR,2015,51082099
BHAGALPUR,2016,45080509
BHAGALPUR,2017,45659556
BHAGALPUR,2018,55903185
BHAGALPUR,2019,59408740
BHAGALPUR,2020,35011088
BHAGALPUR,2021,44782154
BHAGALPUR,2022,61363679
BHAGALPUR,2023,42348699
BHAGALPUR,2024,32481168
BHAGALPUR,2025,13108214
BHANDARA,2014,61091911
BHANDARA,2015,57575717
BHANDARA,2016,64802416
BHANDARA,2017,79371916
BHANDARA,2018,66459259
BHANDARA,2019,62018001
BHANDARA,2020,40623917
BHANDARA,2021,56829166
BHANDARA,2022,52202438
BHANDARA,2023,83248090
BHANDARA,2024,59433223
BHANDARA,2025,22971643
BHARATPUR,2014,42591236
BHARATPUR,2015,41704460
BHARATPUR,2016,43767928
BHARATPUR,2017,49522502
BHARATPUR,2018,73245648
BHARATPUR,2019,62614057
BHARATPUR,2020,53591869
BHARATPUR,2021,55601776
BHARATPUR,2022,61888697
BHARATPUR,2023,78404712
BHARATPUR,2024,94560427
BHARATPUR,2025,33654674
BHARUCH,2014,3068364
BHARUCH,2015,5189913
BHARUCH,2016,4617515
BHARUCH,2017,6196753
BHARUCH,2018,7363614
BHARUCH,2019,8426234
BHARUCH,2020,3519754
BHARUCH,2021,6132928
BHARUCH,2022,6172759
BHARUCH,2023,2452504
BHARUCH,2024,6200891
BHARUCH,2025,-25344
BHAVNAGAR,2014,40836294
BHAVNAGAR,2015,42728815
BHAVNAGAR,2016,43387388
BHAVNAGAR,2017,45568120
BHAVNAGAR,2018,59353683
BHAVNAGAR,2019,73600558
BHAVNAGAR,2020,28480758
BHAVNAGAR,2021,64770214
BHAVNAGAR,2022,54525608
BHAVNAGAR,2023,28992308
BHAVNAGAR,2024,13516205
BHAVNAGAR,2025,6071138
BHILWARA,2014,28426051
BHILWARA,2015,31997371
BHILWARA,2016,30107680
BHILWARA,2017,50750453
BHILWARA,2018,97902525
BHILWARA,2019,93870156
BHILWARA,2020,49250015
BHILWARA,2021,51411391
BHILWARA,2022,74687086
BHILWARA,2023,73903264
BHILWARA,2024,92278469
BHILWARA,2025,42269189
BHIWANI,2014,56548986
BHIWANI,2015,73138301
BHIWANI,2016,92036013
BHIWANI,2017,96201955
BHIWANI,2018,108476482
BHIWANI,2019,119980476
BHIWANI,2020,80820832
BHIWANI,2021,98855082
BHIWANI,2022,131569991
BHIWANI,2023,160096577
BHIWANI,2024,168493030
BHIWANI,2025,62931237
BHOJPUR,2014,48562140
BHOJPUR,2015,39151953
BHOJPUR,2016,40063191
BHOJPUR,2017,41877200
BHOJPUR,2018,42663373
BHOJPUR,2019,46052687
BHOJPUR,2020,38695455
BHOJPUR,2021,39122251
BHOJPUR,2022,43726228
BHOJPUR,2023,42152565
BHOJPUR,2024,46770725
BHOJPUR,2025,17125739
BHOPAL,2014,34486566
BHOPAL,2015,25495728
BHOPAL,2016,40057902
BHOPAL,2017,50040034
BHOPAL,2018,76355429
BHOPAL,2019,91413939
BHOPAL,2020,36258243
BHOPAL,2021,63800959
BHOPAL,2022,81414304
BHOPAL,2023,73264582
BHOPAL,2024,66898834
BHOPAL,2025,22301583
BID,2014,57707522
BID,2015,46858169
BID,2016,61596149
BID,2017,51525784
BID,2018,67460530
