District,State,Year,Women_Employment_Provided,Workers_SC,Workers_ST,Workers_Total
AMBEDKAR NAGAR,UTTAR PRADESH,2024,91664.0,51402.0,37821.0,64842.0
AMBEDKAR NAGAR,UTTAR PRADESH,2025,72494.0,40969.0,31718.0,48674.0
AMETHI,UTTAR PRADESH,2014,50484.0,18897.0,20237.0,45542.0
AMETHI,UTTAR PRADESH,2015,67253.0,30271.0,28471.0,64947.0
AMETHI,UTTAR PRADESH,2016,59165.0,25454.0,23320.0,52364.0
AMETHI,UTTAR PRADESH,2017,61478.0,29755.0,24011.0,62691.0
AMETHI,UTTAR PRADESH,2018,69849.0,29276.0,25142.0,57861.0
AMETHI,UTTAR PRADESH,2019,67597.0,30655.0,21822.0,65646.0
AMETHI,UTTAR PRADESH,2020,127027.0,61517.0,46157.0,124995.0
AMETHI,UTTAR PRADESH,2021,107425.0,51067.0,38587.0,98373.0
AMETHI,UTTAR PRADESH,2022,95944.0,46368.0,35730.0,81461.0
AMETHI,UTTAR PRADESH,2023,89615.0,44961.0,30436.0,75772.0
AMETHI,UTTAR PRADESH,2024,76615.0,36869.0,25697.0,61587.0
AMETHI,UTTAR PRADESH,2025,50165.0,22299.0,17623.0,38445.0
AMRAVATI,MAHARASHTRA,2014,59831.0,44762.0,11984.0,54222.0
AMRAVATI,MAHARASHTRA,2015,63940.0,47752.0,11535.0,61521.0
AMRAVATI,MAHARASHTRA,2016,74764.0,58147.0,13522.0,79728.0
AMRAVATI,MAHARASHTRA,2017,92080.0,72976.0,18782.0,104107.0
AMRAVATI,MAHARASHTRA,2018,104808.0,83289.0,23038.0,115823.0
AMRAVATI,MAHARASHTRA,2019,95970.0,76881.0,20175.0,103887.0
AMRAVATI,MAHARASHTRA,2020,95961.0,82640.0,17215.0,97833.0
AMRAVATI,MAHARASHTRA,2021,122735.0,102354.0,21564.0,134590.0
AMRAVATI,MAHARASHTRA,2022,119714.0,96096.0,21510.0,134116.0
AMRAVATI,MAHARASHTRA,2023,114990.0,92977.0,19829.0,122238.0
AMRAVATI,MAHARASHTRA,2024,130153.0,110648.0,20202.0,146333.0
AMRAVATI,MAHARASHTRA,2025,127902.0,110420.0,18492.0,148316.0
AMRELI,GUJARAT,2014,8674.0,11654.0,4031.0,20576.0
AMRELI,GUJARAT,2015,6151.0,9130.0,2816.0,15892.0
AMRELI,GUJARAT,2016,14351.0,21297.0,5818.0,37438.0
AMRELI,GUJARAT,2017,14919.0,17290.0,5122.0,31144.0
AMRELI,GUJARAT,2018,15143.0,18640.0,5017.0,33176.0
AMRELI,GUJARAT,2019,14152.0,17341.0,5665.0,29474.0
AMRELI,GUJARAT,2020,16910.0,19977.0,6844.0,35987.0
AMRELI,GUJARAT,2021,12995.0,14341.0,5633.0,24898.0
AMRELI,GUJARAT,2022,12283.0,14211.0,5229.0,24288.0
AMRELI,GUJARAT,2023,9675.0,10190.0,4092.0,17464.0
AMRELI,GUJARAT,2024,9808.0,9915.0,3509.0,17461.0
AMRELI,GUJARAT,2025,7432.0,7501.0,2455.0,13114.0
AMRITSAR,PUNJAB,2014,2518.0,500.0,2187.0,396.0
AMRITSAR,PUNJAB,2015,11174.0,2615.0,8971.0,2722.0
AMRITSAR,PUNJAB,2016,11483.0,3542.0,8775.0,3383.0
AMRITSAR,PUNJAB,2017,22894.0,10043.0,18757.0,5781.0
AMRITSAR,PUNJAB,2018,28681.0,14283.0,24828.0,6483.0
AMRITSAR,PUNJAB,2019,30802.0,15488.0,25239.0,8502.0
AMRITSAR,PUNJAB,2020,48935.0,25853.0,38893.0,16255.0
AMRITSAR,PUNJAB,2021,41909.0,22946.0,32943.0,13658.0
AMRITSAR,PUNJAB,2022,39748.0,24415.0,32610.0,10758.0
AMRITSAR,PUNJAB,2023,36127.0,23106.0,30150.0,9103.0
AMRITSAR,PUNJAB,2024,39518.0,24921.0,32548.0,9816.0
AMRITSAR,PUNJAB,2025,30655.0,19178.0,24299.0,8213.0
AMROHA,UTTAR PRADESH,2014,60877.0,18106.0,28966.0,56991.0
AMROHA,UTTAR PRADESH,2015,70168.0,26974.0,32488.0,75193.0
AMROHA,UTTAR PRADESH,2016,67375.0,21608.0,27761.0,65072.0
AMROHA,UTTAR PRADESH,2017,60329.0,17568.0,24086.0,53345.0
AMROHA,UTTAR PRADESH,2018,63578.0,19790.0,24399.0,57597.0
AMROHA,UTTAR PRADESH,2019,63930.0,21666.0,24821.0,60600.0
AMROHA,UTTAR PRADESH,2020,90188.0,27357.0,32907.0,83871.0
AMROHA,UTTAR PRADESH,2021,88261.0,24892.0,30356.0,79054.0
AMROHA,UTTAR PRADESH,2022,78050.0,24349.0,26534.0,68879.0
AMROHA,UTTAR PRADESH,2023,78459.0,25824.0,25655.0,69661.0
AMROHA,UTTAR PRADESH,2024,74578.0,25134.0,23865.0,65522.0
AMROHA,UTTAR PRADESH,2025,58588.0,20013.0,19598.0,49916.0
ANAKAPALLI,ANDHRA PRADESH,2022,200051.0,180941.0,26575.0,261104.0
ANAKAPALLI,ANDHRA PRADESH,2023,207266.0,185342.0,27621.0,264045.0
ANAKAPALLI,ANDHRA PRADESH,2024,210239.0,187340.0,27003.0,266533.0
ANAKAPALLI,ANDHRA PRADESH,2025,199936.0,177140.0,23443.0,248945.0
ANAND,GUJARAT,2014,9165.0,9698.0,1773.0,19031.0
ANAND,GUJARAT,2015,10614.0,9547.0,1395.0,18520.0
ANAND,GUJARAT,2016,31718.0,15247.0,1810.0,40610.0
ANAND,GUJARAT,2017,23982.0,9990.0,964.0,28136.0
ANAND,GUJARAT,2018,14231.0,8454.0,875.0,19006.0
ANAND,GUJARAT,2019,7481.0,4791.0,489.0,9995.0
ANAND,GUJARAT,2020,20949.0,15640.0,2586.0,29529.0
ANAND,GUJARAT,2021,16585.0,12282.0,1737.0,22561.0
ANAND,GUJARAT,2022,15348.0,12612.0,1405.0,22671.0
ANAND,GUJARAT,2023,15190.0,11827.0,1383.0,21284.0
ANAND,GUJARAT,2024,10450.0,7563.0,712.0,13398.0
ANAND,GUJARAT,2025,6079.0,4295.0,341.0,7229.0
ANANTAPUR,ANDHRA PRADESH,2014,260241.0,248286.0,98672.0,353013.0
ANANTAPUR,ANDHRA PRADESH,2015,294308.0,275815.0,105856.0,404247.0
ANANTAPUR,ANDHRA PRADESH,2016,278974.0,253556.0,91503.0,374267.0
ANANTAPUR,ANDHRA PRADESH,2017,292512.0,267065.0,92753.0,392641.0
ANANTAPUR,ANDHRA PRADESH,2018,309093.0,285183.0,95475.0,421494.0
ANANTAPUR,ANDHRA PRADESH,2019,320550.0,293488.0,101375.0,431291.0
ANANTAPUR,ANDHRA PRADESH,2020,422275.0,394379.0,145996.0,581023.0
ANANTAPUR,ANDHRA PRADESH,2021,407198.0,376107.0,136196.0,553461.0
ANANTAPUR,ANDHRA PRADESH,2022,201182.0,191347.0,73369.0,275964.0
ANANTAPUR,ANDHRA PRADESH,2023,199166.0,181365.0,73623.0,254270.0
ANANTAPUR,ANDHRA PRADESH,2024,212780.0,195124.0,69831.0,282037.0
ANANTAPUR,ANDHRA PRADESH,2025,194150.0,178765.0,60528.0,262236.0
ANANTNAG,JAMMU AND KASHMIR,2014,17667.0,8299.0,9.0,27583.0
ANANTNAG,JAMMU AND KASHMIR,2015,49756.0,33497.0,59.0,97033.0
ANANTNAG,JAMMU AND KASHMIR,2016,42776.0,28914.0,23.0,83949.0
ANANTNAG,JAMMU AND KASHMIR,2017,63409.0,48190.0,43.0,122450.0
ANANTNAG,JAMMU AND KASHMIR,2018,73895.0,56617.0,50.0,141375.0
ANANTNAG,JAMMU AND KASHMIR,2019,47306.0,30846.0,0.0,78377.0
ANANTNAG,JAMMU AND KASHMIR,2020,65651.0,46561.0,0.0,115041.0
ANANTNAG,JAMMU AND KASHMIR,2021,59652.0,39612.0,5.0,98949.0
ANANTNAG,JAMMU AND KASHMIR,2022,64645.0,41276.0,26.0,102411.0
ANANTNAG,JAMMU AND KASHMIR,2023,62688.0,39771.0,20.0,99003.0
ANANTNAG,JAMMU AND KASHMIR,2024,64950.0,39540.0,34.0,99778.0
ANANTNAG,JAMMU AND KASHMIR,2025,55827.0,31856.0,26.0,84064.0
ANGUL,ODISHA,2014,33271.0,16064.0,8236.0,31259.0
ANGUL,ODISHA,2015,43470.0,27888.0,13809.0,44922.0
ANGUL,ODISHA,2016,40987.0,28682.0,12413.0,44260.0
ANGUL,ODISHA,2017,50773.0,40278.0,16878.0,55351.0
ANGUL,ODISHA,2018,44858.0,34761.0,13187.0,47378.0
ANGUL,ODISHA,2019,42473.0,33818.0,11328.0,46315.0
ANGUL,ODISHA,2020,94980.0,76625.0,21312.0,115987.0
ANGUL,ODISHA,2021,93203.0,75974.0,17963.0,111861.0
ANGUL,ODISHA,2022,106840.0,88342.0,18662.0,120755.0
ANGUL,ODISHA,2023,90418.0,70254.0,17543.0,99974.0
ANGUL,ODISHA,2024,55189.0,39978.0,8752.0,57802.0
ANGUL,ODISHA,2025,65028.0,48220.0,10113.0,71332.0
ANJAW,ARUNACHAL PRADESH,2014,4570.0,1869.0,0.0,51.0
ANJAW,ARUNACHAL PRADESH,2015,6572.0,3002.0,0.0,112.0
ANJAW,ARUNACHAL PRADESH,2016,6674.0,3084.0,0.0,85.0
ANJAW,ARUNACHAL PRADESH,2017,5272.0,2568.0,0.0,87.0
ANJAW,ARUNACHAL PRADESH,2018,3778.0,1859.0,0.0,50.0
ANJAW,ARUNACHAL PRADESH,2019,7232.0,3743.0,0.0,78.0
ANJAW,ARUNACHAL PRADESH,2020,8256.0,4238.0,0.0,77.0
ANJAW,ARUNACHAL PRADESH,2021,8328.0,4411.0,0.0,118.0
ANJAW,ARUNACHAL PRADESH,2022,7787.0,4089.0,1.0,144.0
ANJAW,ARUNACHAL PRADESH,2023,8157.0,4242.0,7.0,108.0
ANJAW,ARUNACHAL PRADESH,2024,7600.0,3981.0,7.0,88.0
ANJAW,ARUNACHAL PRADESH,2025,8449.0,4417.0,5.0,164.0
ANNAMAYYA,ANDHRA PRADESH,2022,148970.0,128871.0,46514.0,175529.0
ANNAMAYYA,ANDHRA PRADESH,2023,161315.0,135614.0,51229.0,181868.0
ANNAMAYYA,ANDHRA PRADESH,2024,153050.0,127921.0,45530.0,176664.0
ANNAMAYYA,ANDHRA PRADESH,2025,135157.0,112110.0,39991.0,155048.0
ANUPPUR,MADHYA PRADESH,2014,56223.0,46154.0,9311.0,29864.0
ANUPPUR,MADHYA PRADESH,2015,74389.0,61062.0,12871.0,37463.0
ANUPPUR,MADHYA PRADESH,2016,76985.0,65652.0,13351.0,41191.0
ANUPPUR,MADHYA PRADESH,2017,84465.0,73819.0,15004.0,48617.0
ANUPPUR,MADHYA PRADESH,2018,88959.0,76781.0,15333.0,50444.0
ANUPPUR,MADHYA PRADESH,2019,81433.0,67726.0,13399.0,43882.0
ANUPPUR,MADHYA PRADESH,2020,119917.0,106303.0,20830.0,71445.0
ANUPPUR,MADHYA PRADESH,2021,113308.0,95842.0,18260.0,66844.0
ANUPPUR,MADHYA PRADESH,2022,97627.0,77891.0,14477.0,54021.0
ANUPPUR,MADHYA PRADESH,2023,100204.0,80790.0,15267.0,52186.0
ANUPPUR,MADHYA PRADESH,2024,92531.0,73174.0,13450.0,46058.0
ANUPPUR,MADHYA PRADESH,2025,88588.0,69159.0,12658.0,44214.0
ARARIA,BIHAR,2014,27140.0,9969.0,7563.0,22289.0
ARARIA,BIHAR,2015,57948.0,29371.0,15773.0,53682.0
ARARIA,BIHAR,2016,82755.0,44848.0,21836.0,80696.0
ARARIA,BIHAR,2017,63494.0,36982.0,11474.0,65926.0
ARARIA,BIHAR,2018,100654.0,61832.0,20453.0,97758.0
ARARIA,BIHAR,2019,143302.0,89864.0,22304.0,147123.0
ARARIA,BIHAR,2020,221069.0,135080.0,27490.0,238129.0
ARARIA,BIHAR,2021,204687.0,129275.0,24099.0,227912.0
ARARIA,BIHAR,2022,192196.0,138146.0,28906.0,227433.0
ARARIA,BIHAR,2023,139348.0,97622.0,23113.0,145809.0
ARARIA,BIHAR,2024,155605.0,108465.0,22797.0,158743.0
ARARIA,BIHAR,2025,150649.0,109984.0,17388.0,162126.0
ARIYALUR,TAMIL NADU,2014,140336.0,136460.0,39614.0,144410.0
ARIYALUR,TAMIL NADU,2015,159778.0,156867.0,46214.0,170342.0
ARIYALUR,TAMIL NADU,2016,156675.0,151721.0,43902.0,162275.0
ARIYALUR,TAMIL NADU,2017,140729.0,135133.0,37066.0,137655.0
ARIYALUR,TAMIL NADU,2018,128173.0,120882.0,30820.0,122491.0
ARIYALUR,TAMIL NADU,2019,129214.0,122262.0,36401.0,116762.0
ARIYALUR,TAMIL NADU,2020,162879.0,155212.0,47706.0,154925.0
ARIYALUR,TAMIL NADU,2021,164202.0,156234.0,48405.0,156753.0
ARIYALUR,TAMIL NADU,2022,151473.0,144376.0,42284.0,140917.0
ARIYALUR,TAMIL NADU,2023,170169.0,164480.0,47971.0,165602.0
ARIYALUR,TAMIL NADU,2024,169269.0,163127.0,46396.0,164434.0
ARIYALUR,TAMIL NADU,2025,150909.0,143065.0,39426.0,137608.0
ARVALLI,GUJARAT,2014,27303.0,19655.0,2668.0,33124.0
