District,Year,asset_index_0_1
SAHIBZADA AJIT SINGH NAGAR,2023,0.918190539
SAHIBZADA AJIT SINGH NAGAR,2024,0.926948323
SAHIBZADA AJIT SINGH NAGAR,2025,0.931852059
SANGRUR,2014,0.545118978
SANGRUR,2015,0.605784241
SANGRUR,2016,0.65270968
SANGRUR,2017,0.654690933
SANGRUR,2018,0.754511799
SANGRUR,2019,0.833846154
SANGRUR,2020,0.736998203
SANGRUR,2021,0.721319196
SANGRUR,2022,0.716422644
SANGRUR,2023,0.751377767
SANGRUR,2024,0.956043365
SANGRUR,2025,0.777409389
SHAHID BHAGAT SINGH NAGAR,2017,0.421682385
SHAHID BHAGAT SINGH NAGAR,2018,0.490525763
SHAHID BHAGAT SINGH NAGAR,2019,0.5403514
SHAHID BHAGAT SINGH NAGAR,2020,0.528817333
SHAHID BHAGAT SINGH NAGAR,2021,0.546315518
SHAHID BHAGAT SINGH NAGAR,2022,0.546357926
SHAHID BHAGAT SINGH NAGAR,2023,0.550942019
SHAHID BHAGAT SINGH NAGAR,2024,0.606874809
SHAHID BHAGAT SINGH NAGAR,2025,0.70269692
TARN TARAN,2014,0.540667323
TARN TARAN,2015,0.578225673
TARN TARAN,2016,0.577990335
TARN TARAN,2017,0.553610651
TARN TARAN,2018,0.592083028
TARN TARAN,2019,0.629503519
TARN TARAN,2020,0.598632843
TARN TARAN,2021,0.638448795
TARN TARAN,2022,0.60695231
TARN TARAN,2023,0.632437752
TARN TARAN,2024,0.689234192
TARN TARAN,2025,0.649989751
AJMER,2014,0.322915482
AJMER,2015,0.388261945
AJMER,2016,0.413131104
AJMER,2017,0.458257659
AJMER,2018,0.455300441
AJMER,2019,0.461576731
AJMER,2020,0.461795334
AJMER,2021,0.47875528
AJMER,2022,0.502598387
AJMER,2023,0.566073414
AJMER,2024,0.695546463
AJMER,2025,0.85074811
ALWAR,2014,0.369088065
ALWAR,2015,0.397010259
ALWAR,2016,0.384623502
ALWAR,2017,0.401485688
ALWAR,2018,0.426403875
ALWAR,2019,0.446261292
ALWAR,2020,0.460671143
ALWAR,2021,0.461078843
ALWAR,2022,0.486651228
ALWAR,2023,0.516113018
ALWAR,2024,0.62635695
ALWAR,2025,0.771905285
BANSWARA,2014,0.114068315
BANSWARA,2015,0.175891832
BANSWARA,2016,0.238916604
BANSWARA,2017,0.279568853
BANSWARA,2018,0.354644446
BANSWARA,2019,0.383891037
BANSWARA,2020,0.361281842
BANSWARA,2021,0.397183245
BANSWARA,2022,0.366561637
BANSWARA,2023,0.439890427
BANSWARA,2024,0.59396953
BANSWARA,2025,0.622272088
BARAN,2017,0.376422511
BARAN,2018,0.400606445
BARAN,2019,0.398106441
BARAN,2020,0.388532399
BARAN,2021,0.402497065
BARAN,2022,0.385241915
BARAN,2023,0.643414759
BARAN,2024,0.416443625
BARAN,2025,0.585819649
BARMER,2014,0.304251123
BARMER,2015,0.25767376
BARMER,2016,0.259615144
BARMER,2017,0.274655878
BARMER,2018,0.300926296
BARMER,2019,0.387693296
BARMER,2020,0.328439881
BARMER,2021,0.365985113
BARMER,2022,0.438028818
BARMER,2023,0.404875033
BARMER,2024,0.607065618
BHARATPUR,2014,0.334615468
BHARATPUR,2015,0.346575392
BHARATPUR,2016,0.31665995
BHARATPUR,2017,0.404972559
BHARATPUR,2018,0.423743403
BHARATPUR,2019,0.428112942
BHARATPUR,2020,0.413665353
BHARATPUR,2021,0.431955994
BHARATPUR,2022,0.445167709
BHARATPUR,2023,0.495288742
BHARATPUR,2024,0.646808182
BHARATPUR,2025,0.647056707
BHILWARA,2014,0.39347543
BHILWARA,2015,0.43775869
BHILWARA,2016,0.422166201
BHILWARA,2017,0.423098601
BHILWARA,2018,0.476655404
BHILWARA,2019,0.499930606
BHILWARA,2020,0.435651412
BHILWARA,2021,0.402895031
BHILWARA,2022,0.40842908
BHILWARA,2023,0.48770771
BHILWARA,2024,0.594548688
BHILWARA,2025,0.688485995
BIKANER,2018,0.482718063
BIKANER,2019,0.349149356
BIKANER,2020,0.44791244
BIKANER,2021,0.402315234
BIKANER,2023,0.475365238
BIKANER,2024,0.719549766
BUNDI,2014,0.245098171
BUNDI,2015,0.296320538
BUNDI,2016,0.282400275
BUNDI,2017,0.347726344
BUNDI,2018,0.369181337
BUNDI,2019,0.406113397
BUNDI,2020,0.386060383
BUNDI,2021,0.397468967
BUNDI,2022,0.394525984
BUNDI,2023,0.464534761
BUNDI,2024,0.573743192
BUNDI,2025,0.57456026
CHITTAURGARH,2014,0.38680112
CHITTAURGARH,2015,0.426542879
CHITTAURGARH,2016,0.419062527
CHITTAURGARH,2017,0.442489146
CHITTAURGARH,2018,0.450746907
CHITTAURGARH,2019,0.466116313
CHITTAURGARH,2020,0.427908001
CHITTAURGARH,2021,0.432242261
CHITTAURGARH,2022,0.431800653
CHITTAURGARH,2023,0.44004368
CHITTAURGARH,2024,0.715441322
CHITTAURGARH,2025,0.741050974
CHURU,2018,0.376577618
CHURU,2019,0.410633547
CHURU,2020,0.412871582
CHURU,2021,0.411035167
CHURU,2022,0.471465593
CHURU,2023,0.477864813
CHURU,2024,0.708586851
DAUSA,2014,0.292934305
DAUSA,2015,0.362261839
DAUSA,2016,0.381223072
DAUSA,2017,0.416959168
DAUSA,2018,0.443033297
DAUSA,2019,0.462160099
DAUSA,2020,0.40067114
DAUSA,2021,0.413638905
DAUSA,2022,0.443321067
DAUSA,2023,0.472283959
DAUSA,2024,0.538526463
DAUSA,2025,0.72688373
DHAULPUR,2017,0.396668109
DHAULPUR,2018,0.398751651
DHAULPUR,2019,0.403140319
DHAULPUR,2021,0.402843204
DHAULPUR,2023,0.39972888
DHAULPUR,2024,0.643657121
DHAULPUR,2025,0.671321681
DUNGARPUR,2014,0.068191044
DUNGARPUR,2015,0.063561067
DUNGARPUR,2016,0.061395977
DUNGARPUR,2017,0.063632536
DUNGARPUR,2018,0.137629229
DUNGARPUR,2019,0.382578256
DUNGARPUR,2020,0.379955645
DUNGARPUR,2021,0.402327385
DUNGARPUR,2022,0.383611712
DUNGARPUR,2023,0.419435294
DUNGARPUR,2025,0.597007019
GANGANAGAR,2014,0.29328199
GANGANAGAR,2015,0.314774322
GANGANAGAR,2016,0.327714289
GANGANAGAR,2017,0.324111119
GANGANAGAR,2018,0.343188702
GANGANAGAR,2019,0.379763859
GANGANAGAR,2020,0.450845134
GANGANAGAR,2021,0.459980994
GANGANAGAR,2022,0.491628524
GANGANAGAR,2023,0.510512653
GANGANAGAR,2024,0.68606032
GANGANAGAR,2025,0.749530528
HANUMANGARH,2014,0.354917767
HANUMANGARH,2015,0.306743463
HANUMANGARH,2016,0.299720714
HANUMANGARH,2017,0.326247967
HANUMANGARH,2018,0.398186885
HANUMANGARH,2019,0.418087558
HANUMANGARH,2020,0.39865742
HANUMANGARH,2021,0.495763504
HANUMANGARH,2022,0.453702828
HANUMANGARH,2023,0.466140228
HANUMANGARH,2024,0.70696821
HANUMANGARH,2025,0.460687999
JAIPUR,2014,0.410432015
JAIPUR,2015,0.428959488
JAIPUR,2016,0.425217515
JAIPUR,2017,0.439192808
JAIPUR,2018,0.489031762
JAIPUR,2019,0.560175718
JAIPUR,2020,0.495652892
JAIPUR,2021,0.52058138
JAIPUR,2022,0.537924264
JAIPUR,2023,0.566635305
JAIPUR,2024,0.678854697
JAIPUR,2025,0.814110527
JAISALMER,2014,0.30217037
JAISALMER,2015,0.30217037
JAISALMER,2016,0.304725665
JAISALMER,2017,0.372565464
JAISALMER,2018,0.424581893
JAISALMER,2019,0.412090703
JAISALMER,2020,0.37799447
JAISALMER,2021,0.426172946
JAISALMER,2022,0.429554044
JAISALMER,2023,0.481688024
JAISALMER,2024,0.729047839
JAISALMER,2025,0.660234477
JALOR,2014,0.199672755
JALOR,2015,0.284700323
JALOR,2018,0.397445508
JALOR,2019,0.265783346
JALOR,2020,0.379852366
JALOR,2021,0.36374843
JALOR,2023,0.384203753
JALOR,2024,0.487146229
JALOR,2025,0.825761329
JHALAWAR,2014,0.26987406
JHALAWAR,2015,0.33063837
JHALAWAR,2016,0.356679626
JHALAWAR,2017,0.405408778
JHALAWAR,2018,0.475266469
JHALAWAR,2019,0.50817552
JHALAWAR,2020,0.446415262
JHALAWAR,2021,0.433755724
JHALAWAR,2022,0.442005423
JHALAWAR,2023,0.451124802
JHALAWAR,2024,0.626966194
JHALAWAR,2025,0.754695543
JHUNJHUNUN,2014,0.341268352
JHUNJHUNUN,2015,0.353422309
JHUNJHUNUN,2016,0.350158697
JHUNJHUNUN,2017,0.378471295
