region_id,year,pillar5_structural_persistence_score
BANSWARA_RAJASTHAN,2020.0,0.5659974646893098
BANSWARA_RAJASTHAN,2021.0,0.6904625046625172
BANSWARA_RAJASTHAN,2022.0,0.6899698687628937
BANSWARA_RAJASTHAN,2023.0,0.5446991269822752
BANSWARA_RAJASTHAN,2024.0,0.6343681153537074
BAREILLY_UTTAR PRADESH,2015.0,0.05892351122446959
BAREILLY_UTTAR PRADESH,2016.0,0.07760777769585041
BAREILLY_UTTAR PRADESH,2017.0,0.05203505730251199
BAREILLY_UTTAR PRADESH,2018.0,0.07113188823410808
BAREILLY_UTTAR PRADESH,2019.0,0.09638286710571602
BAREILLY_UTTAR PRADESH,2020.0,0.13772059967773975
BAREILLY_UTTAR PRADESH,2021.0,0.19890914953650096
BAREILLY_UTTAR PRADESH,2022.0,0.1864901493428325
BAREILLY_UTTAR PRADESH,2023.0,0.20341918008111118
BAREILLY_UTTAR PRADESH,2024.0,0.2058564686636651
BARNALA_PUNJAB,2015.0,0.15723425841163982
BARNALA_PUNJAB,2016.0,0.2547796738749312
BARNALA_PUNJAB,2017.0,0.26564598622160474
BARNALA_PUNJAB,2018.0,0.3243443938461955
BARNALA_PUNJAB,2019.0,0.18114234134517854
BARNALA_PUNJAB,2020.0,0.19775930708832282
BARNALA_PUNJAB,2021.0,0.2677200686406081
BARNALA_PUNJAB,2022.0,0.2334417262070305
BARNALA_PUNJAB,2023.0,0.24823116243723264
BARNALA_PUNJAB,2024.0,0.29138828008732326
BARWANI_MADHYA PRADESH,2015.0,0.07722334990785061
BARWANI_MADHYA PRADESH,2016.0,0.09615423954317143
BARWANI_MADHYA PRADESH,2017.0,0.14191539396189798
BARWANI_MADHYA PRADESH,2018.0,0.21553885468278763
BARWANI_MADHYA PRADESH,2019.0,0.39581779887604823
BARWANI_MADHYA PRADESH,2020.0,0.3761230430968135
BARWANI_MADHYA PRADESH,2021.0,0.5248517619900712
