State,District,Year,arhar_area,arhar_production,arhar_yield
Arunachal Pradesh,Pakke kessang,2021-2022,26.0,25.0,0.96
Arunachal Pradesh,Pakke kessang,2022-2023,27.0,26.0,0.96
Arunachal Pradesh,Papum pare,2016-2017,62.0,69.0,1.11
Arunachal Pradesh,Papum pare,2017-2018,70.0,69.0,0.99
Arunachal Pradesh,Papum pare,2018-2019,70.0,69.0,0.99
Arunachal Pradesh,Papum pare,2019-2020,70.0,70.0,1.0
Arunachal Pradesh,Papum pare,2020-2021,70.0,70.0,1.0
Arunachal Pradesh,Papum pare,2021-2022,74.0,72.0,0.97
Arunachal Pradesh,Papum pare,2022-2023,76.0,73.0,0.96
Arunachal Pradesh,Siang,2016-2017,67.0,44.0,0.66
Arunachal Pradesh,Siang,2017-2018,61.0,43.0,0.7
Arunachal Pradesh,Siang,2018-2019,61.0,43.0,0.7
Arunachal Pradesh,Siang,2019-2020,61.0,43.0,0.7
Arunachal Pradesh,Siang,2020-2021,61.0,43.0,0.7
Arunachal Pradesh,Siang,2021-2022,65.0,45.0,0.69
Arunachal Pradesh,Siang,2022-2023,68.0,48.0,0.71
Arunachal Pradesh,Tirap,2016-2017,41.0,19.0,0.46
Arunachal Pradesh,Tirap,2017-2018,35.0,19.0,0.54
Arunachal Pradesh,Tirap,2018-2019,35.0,19.0,0.54
Arunachal Pradesh,Tirap,2019-2020,35.0,19.0,0.54
Arunachal Pradesh,Tirap,2020-2021,35.0,19.0,0.54
Arunachal Pradesh,Tirap,2021-2022,36.0,21.0,0.58
Arunachal Pradesh,Tirap,2022-2023,37.0,23.0,0.62
Arunachal Pradesh,Upper siang,2016-2017,95.0,87.0,0.92
Arunachal Pradesh,Upper siang,2017-2018,92.0,86.0,0.93
Arunachal Pradesh,Upper siang,2018-2019,92.0,86.0,0.93
Arunachal Pradesh,Upper siang,2019-2020,92.0,86.0,0.93
Arunachal Pradesh,Upper siang,2020-2021,92.0,86.0,0.93
Arunachal Pradesh,Upper siang,2021-2022,94.0,88.0,0.94
Arunachal Pradesh,Upper siang,2022-2023,96.0,90.0,0.94
Arunachal Pradesh,Upper subansiri,2016-2017,62.0,56.0,0.9
Arunachal Pradesh,Upper subansiri,2017-2018,59.0,64.0,1.08
Arunachal Pradesh,Upper subansiri,2018-2019,39.0,54.0,1.38
Arunachal Pradesh,Upper subansiri,2019-2020,39.0,55.0,1.41
Arunachal Pradesh,Upper subansiri,2020-2021,39.0,55.0,1.41
Arunachal Pradesh,Upper subansiri,2021-2022,41.0,57.0,1.39
Arunachal Pradesh,Upper subansiri,2022-2023,43.0,58.0,1.35
Arunachal Pradesh,West siang,2016-2017,51.0,45.0,0.88
Arunachal Pradesh,West siang,2017-2018,55.0,44.0,0.8
Arunachal Pradesh,West siang,2018-2019,27.0,30.0,1.11
Arunachal Pradesh,West siang,2019-2020,20.0,22.0,1.1
Arunachal Pradesh,West siang,2020-2021,20.0,22.0,1.1
Arunachal Pradesh,West siang,2021-2022,22.0,25.0,1.14
Arunachal Pradesh,West siang,2022-2023,23.0,26.0,1.13
Assam,Baksa,2013-2014,230.0,221.0,0.96
Assam,Baksa,2014-2015,225.0,205.0,0.91
Assam,Baksa,2015-2016,225.0,316.0,1.4
Assam,Baksa,2016-2017,210.0,230.0,1.1
Assam,Baksa,2017-2018,220.0,312.0,1.42
Assam,Baksa,2018-2019,242.0,291.0,1.2
Assam,Baksa,2019-2020,240.0,359.0,1.5
Assam,Baksa,2020-2021,220.0,334.0,1.52
Assam,Baksa,2021-2022,230.0,348.0,1.51
Assam,Baksa,2022-2023,245.0,372.0,1.52
Assam,Barpeta,2013-2014,213.0,180.0,0.85
Assam,Barpeta,2014-2015,231.0,212.0,0.92
Assam,Barpeta,2015-2016,214.0,199.0,0.93
Assam,Barpeta,2016-2017,207.0,139.0,0.67
Assam,Barpeta,2017-2018,167.0,107.0,0.64
Assam,Barpeta,2018-2019,162.0,103.0,0.64
Assam,Barpeta,2019-2020,167.0,105.0,0.63
Assam,Barpeta,2020-2021,166.0,104.0,0.63
Assam,Barpeta,2021-2022,157.0,106.0,0.68
Assam,Barpeta,2022-2023,157.0,107.0,0.68
Assam,Biswanath,2020-2021,336.0,407.0,1.21
Assam,Biswanath,2021-2022,366.0,440.0,1.2
Assam,Biswanath,2022-2023,315.0,383.0,1.22
Assam,Bongaigaon,2013-2014,149.0,141.0,0.95
Assam,Bongaigaon,2014-2015,161.0,170.0,1.06
Assam,Bongaigaon,2015-2016,169.0,141.0,0.83
Assam,Bongaigaon,2016-2017,167.0,187.0,1.12
Assam,Bongaigaon,2017-2018,161.0,132.0,0.82
Assam,Bongaigaon,2018-2019,164.0,140.0,0.85
Assam,Bongaigaon,2019-2020,158.0,132.0,0.84
Assam,Bongaigaon,2020-2021,160.0,112.0,0.7
Assam,Bongaigaon,2021-2022,168.0,118.0,0.7
Assam,Bongaigaon,2022-2023,391.0,322.0,0.82
Assam,Cachar,2013-2014,123.0,105.0,0.85
Assam,Cachar,2014-2015,146.0,141.0,0.97
Assam,Cachar,2015-2016,150.0,107.0,0.71
Assam,Cachar,2016-2017,143.0,102.0,0.71
Assam,Cachar,2017-2018,135.0,97.0,0.72
Assam,Cachar,2018-2019,149.0,112.0,0.75
Assam,Cachar,2019-2020,140.0,107.0,0.76
Assam,Cachar,2020-2021,140.0,106.0,0.76
Assam,Cachar,2021-2022,148.0,112.0,0.76
Assam,Cachar,2022-2023,135.0,95.0,0.7
Assam,Charaideo,2020-2021,21.0,17.0,0.81
Assam,Charaideo,2021-2022,22.0,18.0,0.82
Assam,Charaideo,2022-2023,22.0,18.0,0.82
Assam,Chirang,2013-2014,262.0,216.0,0.82
Assam,Chirang,2014-2015,222.0,236.0,1.06
Assam,Chirang,2015-2016,282.0,232.0,0.82
Assam,Chirang,2016-2017,231.0,210.0,0.91
Assam,Chirang,2017-2018,183.0,150.0,0.82
Assam,Chirang,2018-2019,172.0,155.0,0.9
Assam,Chirang,2019-2020,100.0,92.0,0.92
Assam,Chirang,2020-2021,95.0,87.0,0.92
Assam,Chirang,2021-2022,110.0,93.0,0.85
Assam,Chirang,2022-2023,256.0,195.0,0.76
Assam,Darrang,2013-2014,187.0,393.0,2.1
Assam,Darrang,2014-2015,169.0,126.0,0.75
Assam,Darrang,2015-2016,266.0,231.0,0.87
Assam,Darrang,2016-2017,136.0,111.0,0.82
Assam,Darrang,2017-2018,111.0,91.0,0.82
Assam,Darrang,2018-2019,23.0,19.0,0.83
Assam,Darrang,2019-2020,175.0,144.0,0.82
Assam,Darrang,2020-2021,239.0,179.0,0.75
Assam,Darrang,2021-2022,239.0,186.0,0.78
Assam,Darrang,2022-2023,280.0,234.0,0.84
Assam,Dhemaji,2013-2014,40.0,34.0,0.85
Assam,Dhemaji,2014-2015,34.0,32.0,0.94
Assam,Dhemaji,2015-2016,25.0,24.0,0.96
Assam,Dhemaji,2016-2017,30.0,29.0,0.97
Assam,Dhemaji,2017-2018,38.0,36.0,0.95
Assam,Dhemaji,2018-2019,32.0,43.0,1.34
Assam,Dhemaji,2019-2020,36.0,40.0,1.11
Assam,Dhemaji,2020-2021,28.0,28.0,1.0
Assam,Dhemaji,2021-2022,29.0,18.0,0.62
Assam,Dhemaji,2022-2023,52.0,23.0,0.44
Assam,Dhubri,2013-2014,80.0,67.0,0.84
Assam,Dhubri,2014-2015,69.0,64.0,0.93
Assam,Dhubri,2015-2016,65.0,62.0,0.95
Assam,Dhubri,2016-2017,71.0,67.0,0.94
Assam,Dhubri,2017-2018,69.0,65.0,0.94
Assam,Dhubri,2018-2019,80.0,77.0,0.96
Assam,Dhubri,2019-2020,97.0,93.0,0.96
Assam,Dhubri,2020-2021,36.0,34.0,0.94
Assam,Dhubri,2021-2022,36.0,34.0,0.94
Assam,Dhubri,2022-2023,86.0,82.0,0.95
Assam,Dibrugarh,2013-2014,49.0,42.0,0.86
Assam,Dibrugarh,2014-2015,49.0,47.0,0.96
Assam,Dibrugarh,2015-2016,55.0,45.0,0.82
Assam,Dibrugarh,2016-2017,59.0,48.0,0.81
Assam,Dibrugarh,2017-2018,55.0,45.0,0.82
Assam,Dibrugarh,2018-2019,61.0,52.0,0.85
Assam,Dibrugarh,2019-2020,54.0,46.0,0.85
Assam,Dibrugarh,2020-2021,54.0,47.0,0.87
Assam,Dibrugarh,2021-2022,35.0,20.0,0.57
Assam,Dibrugarh,2022-2023,33.0,26.0,0.79
Assam,Dima hasao,2013-2014,416.0,343.0,0.82
Assam,Dima hasao,2014-2015,448.0,414.0,0.92
Assam,Dima hasao,2015-2016,443.0,319.0,0.72
Assam,Dima hasao,2016-2017,435.0,313.0,0.72
Assam,Dima hasao,2017-2018,443.0,319.0,0.72
Assam,Dima hasao,2018-2019,465.0,336.0,0.72
Assam,Dima hasao,2019-2020,465.0,336.0,0.72
Assam,Dima hasao,2020-2021,448.0,323.0,0.72
Assam,Dima hasao,2021-2022,422.0,305.0,0.72
Assam,Dima hasao,2022-2023,425.0,306.0,0.72
Assam,Goalpara,2013-2014,300.0,570.0,1.9
Assam,Goalpara,2014-2015,421.0,473.0,1.12
Assam,Goalpara,2015-2016,546.0,601.0,1.1
Assam,Goalpara,2016-2017,389.0,467.0,1.2
Assam,Goalpara,2017-2018,324.0,227.0,0.7
Assam,Goalpara,2018-2019,330.0,231.0,0.7
Assam,Goalpara,2019-2020,376.0,263.0,0.7
Assam,Goalpara,2020-2021,396.0,278.0,0.7
Assam,Goalpara,2021-2022,411.0,292.0,0.71
Assam,Goalpara,2022-2023,397.0,295.0,0.74
Assam,Golaghat,2013-2014,155.0,132.0,0.85
Assam,Golaghat,2014-2015,142.0,133.0,0.94
Assam,Golaghat,2015-2016,142.0,124.0,0.87
Assam,Golaghat,2016-2017,139.0,124.0,0.89
Assam,Golaghat,2017-2018,130.0,113.0,0.87
Assam,Golaghat,2018-2019,137.0,120.0,0.88
Assam,Golaghat,2019-2020,134.0,118.0,0.88
Assam,Golaghat,2020-2021,134.0,117.0,0.87
Assam,Golaghat,2021-2022,120.0,104.0,0.87
Assam,Golaghat,2022-2023,114.0,101.0,0.89
Assam,Hailakandi,2013-2014,80.0,63.0,0.79
Assam,Hailakandi,2014-2015,70.0,62.0,0.89
Assam,Hailakandi,2015-2016,66.0,36.0,0.55
Assam,Hailakandi,2016-2017,66.0,36.0,0.55
Assam,Hailakandi,2017-2018,60.0,33.0,0.55
Assam,Hailakandi,2018-2019,61.0,31.0,0.51
Assam,Hailakandi,2019-2020,55.0,28.0,0.51
Assam,Hailakandi,2020-2021,55.0,28.0,0.51
Assam,Hailakandi,2021-2022,55.0,28.0,0.51
Assam,Hailakandi,2022-2023,45.0,20.0,0.44
Assam,Jorhat,2013-2014,38.0,31.0,0.82
Assam,Jorhat,2014-2015,32.0,29.0,0.91
Assam,Jorhat,2015-2016,34.0,31.0,0.91
Assam,Jorhat,2016-2017,30.0,27.0,0.9
Assam,Jorhat,2017-2018,20.0,17.0,0.85
Assam,Jorhat,2018-2019,36.0,32.0,0.89
Assam,Jorhat,2019-2020,52.0,47.0,0.9
Assam,Jorhat,2020-2021,26.0,23.0,0.88
Assam,Jorhat,2021-2022,21.0,19.0,0.9
Assam,Jorhat,2022-2023,20.0,18.0,0.9
Assam,Kamrup,2013-2014,198.0,183.0,0.92
Assam,Kamrup,2014-2015,169.0,173.0,1.02
Assam,Kamrup,2015-2016,176.0,161.0,0.91
Assam,Kamrup,2016-2017,178.0,165.0,0.93
Assam,Kamrup,2017-2018,164.0,152.0,0.93
Assam,Kamrup,2018-2019,172.0,159.0,0.92
