State,District,Year,sugarcane_area,sugarcane_production,sugarcane_yield
Andhra Pradesh,East godavari,2018-2019,9854.0,889636.0,90.28
Andhra Pradesh,East godavari,2019-2020,8134.0,725240.0,89.16
Andhra Pradesh,East godavari,2020-2021,1722.0,132108.0,76.72
Andhra Pradesh,East godavari,2021-2022,922.0,71829.0,77.91
Andhra Pradesh,East godavari,2022-2023,1077.0,95217.0,88.41
Andhra Pradesh,Eluru,2022-2023,1438.0,138074.0,96.02
Andhra Pradesh,Guntur,2013-2014,420.0,43200.0,102.86
Andhra Pradesh,Guntur,2014-2015,470.0,46102.0,98.09
Andhra Pradesh,Guntur,2015-2016,332.0,34260.0,103.19
Andhra Pradesh,Guntur,2016-2017,267.0,28341.0,106.15
Andhra Pradesh,Guntur,2017-2018,226.0,24090.0,106.59
Andhra Pradesh,Guntur,2018-2019,221.0,21167.0,95.78
Andhra Pradesh,Guntur,2019-2020,120.0,11006.0,91.72
Andhra Pradesh,Guntur,2020-2021,158.0,14450.0,91.46
Andhra Pradesh,Guntur,2021-2022,153.0,14576.0,95.27
Andhra Pradesh,Guntur,2022-2023,82.0,5848.0,71.32
Andhra Pradesh,Kadapa,2013-2014,550.0,35420.0,64.4
Andhra Pradesh,Kadapa,2014-2015,373.0,30621.0,82.09
Andhra Pradesh,Kadapa,2015-2016,261.0,19485.0,74.66
Andhra Pradesh,Kadapa,2016-2017,245.0,19005.0,77.57
Andhra Pradesh,Kadapa,2017-2018,276.0,26851.0,97.29
Andhra Pradesh,Kadapa,2018-2019,402.0,26318.0,65.47
Andhra Pradesh,Kadapa,2019-2020,182.0,12922.0,71.0
Andhra Pradesh,Kadapa,2020-2021,70.0,5351.0,76.44
Andhra Pradesh,Kadapa,2021-2022,125.0,8650.0,69.2
Andhra Pradesh,Kadapa,2022-2023,87.0,8304.0,95.45
Andhra Pradesh,Kakinada,2022-2023,678.0,60375.0,89.05
Andhra Pradesh,Krishna,2013-2014,16123.0,1447765.0,89.8
Andhra Pradesh,Krishna,2014-2015,16719.0,1400898.0,83.79
Andhra Pradesh,Krishna,2015-2016,14555.0,1491656.0,102.48
Andhra Pradesh,Krishna,2016-2017,10983.0,993610.0,90.47
Andhra Pradesh,Krishna,2017-2018,10258.0,945664.0,92.19
Andhra Pradesh,Krishna,2018-2019,13133.0,1304989.0,99.37
Andhra Pradesh,Krishna,2019-2020,8996.0,834188.0,92.73
Andhra Pradesh,Krishna,2020-2021,4457.0,403344.0,90.5
Andhra Pradesh,Krishna,2021-2022,4381.0,441636.0,100.81
Andhra Pradesh,Krishna,2022-2023,3255.0,353334.0,108.55
Andhra Pradesh,Kurnool,2013-2014,751.0,80420.0,107.08
