State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,29. Sonepur,2019 - 2020,,,,"1,000.00",790,0.79
,30. Sundargarh,2019 - 2020,,,,"1,240.00",930,0.75
15. Punjab,1. Amritsar,2014 - 2015,,,,400,430,1.08
,,2015 - 2016,,,,600,900,1.5
,,2016 - 2017,,,,800,800,1
,,2017 - 2018,,,,800,300,0.38
,,2018 - 2019,,,,700,400,0.57
,,2019 - 2020,,,,900,500,0.56
,,2021 - 2022,,,,400,200,0.5
,2. Firozepur,2014 - 2015,,,,100,90,0.9
,,2016 - 2017,,,,100,100,1
,,2017 - 2018,,,,100,100,1
,,2018 - 2019,,,,200,300,1.5
,,2019 - 2020,,,,100,100,1
,,2021 - 2022,,,,100,100,1
,3. Gurdaspur,2014 - 2015,,,,100,90,0.9
,,2019 - 2020,,,,100,100,1
,4. Hoshiarpur,2013 - 2014,,,,200,260,1.3
,,2014 - 2015,,,,200,260,1.3
,,2015 - 2016,,,,200,300,1.5
,,2016 - 2017,,,,200,300,1.5
,,2021 - 2022,,,,200,200,1
,5. Jalandhar,2013 - 2014,,,,200,210,1.05
,,2014 - 2015,,,,100,110,1.1
,,2015 - 2016,,,,100,100,1
,,2016 - 2017,,,,100,100,1
,,2017 - 2018,,,,100,100,1
,,2018 - 2019,,,,100,100,1
,,2019 - 2020,,,,100,100,1
,,2021 - 2022,,,,100,100,1
,6. Kapurthala,2014 - 2015,,,,100,140,1.4
,,2015 - 2016,,,,100,200,2
,,2017 - 2018,,,,100,100,1
,,2018 - 2019,,,,100,200,2
,,2021 - 2022,,,,100,100,1
,7. Ludhiana,2013 - 2014,,,,300,450,1.5
,,2014 - 2015,,,,300,450,1.5
,,2015 - 2016,,,,400,600,1.5
,,2016 - 2017,,,,200,300,1.5
,,2017 - 2018,,,,100,300,3
,,2018 - 2019,,,,100,100,1
,,2019 - 2020,,,,100,100,1
,,2020 - 2021,,,,200,300,1.5
,,2021 - 2022,,,,100,100,1
,8. Mansa,2018 - 2019,,,,100,100,1
,9. Moga,2015 - 2016,,,,100,100,1
,10. Nawanshahr,2013 - 2014,,,,100,170,1.7
,,2014 - 2015,,,,100,120,1.2
,,2015 - 2016,,,,100,200,2
,,2018 - 2019,,,,100,100,1
