State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,,,,"4,136.00","4,037.00",0.98
,,2022 - 2023,,,,"4,530.00","6,872.00",1.52
,73. Sultanpur,2013 - 2014,,,,"6,115.00","1,553.00",0.25
,,2014 - 2015,,,,"5,972.00","3,870.00",0.65
,,2015 - 2016,,,,"5,590.00","5,562.00",0.99
,,2016 - 2017,,,,"6,191.00","3,764.00",0.61
,,2017 - 2018,,,,"5,450.00","8,006.00",1.47
,,2018 - 2019,,,,"6,067.00","9,817.00",1.62
,,2019 - 2020,,,,"5,696.00","9,370.00",1.65
,,2020 - 2021,,,,"6,070.00","9,445.00",1.56
,,2021 - 2022,,,,"6,847.00","11,140.00",1.63
,,2022 - 2023,,,,"7,493.00","11,607.00",1.55
,74. Unnao,2013 - 2014,,,,660,624,0.95
,,2014 - 2015,,,,606,704,1.16
,,2015 - 2016,,,,585,721,1.23
,,2016 - 2017,,,,577,690,1.2
,,2017 - 2018,,,,"1,006.00","1,228.00",1.22
,,2018 - 2019,,,,714,936,1.31
,,2019 - 2020,,,,664,539,0.81
,,2020 - 2021,,,,653,758,1.16
,,2021 - 2022,,,,745,"1,257.00",1.69
,,2022 - 2023,,,,816,"1,080.00",1.32
,75. Varanasi,2013 - 2014,,,,"2,915.00","2,408.00",0.83
,,2014 - 2015,,,,"2,912.00","2,097.00",0.72
,,2015 - 2016,,,,"2,930.00","3,147.00",1.07
,,2016 - 2017,,,,"2,969.00","4,222.00",1.42
,,2017 - 2018,,,,"2,936.00","3,535.00",1.2
,,2018 - 2019,,,,"2,244.00","3,025.00",1.35
,,2019 - 2020,,,,"2,873.00","4,376.00",1.52
,,2020 - 2021,,,,"2,784.00","4,343.00",1.56
,,2021 - 2022,,,,"3,209.00","5,872.00",1.83
,,2022 - 2023,,,,"3,516.00","5,003.00",1.42
19. Uttarakhand,1. Almora,2013 - 2014,,,,14,7,0.5
,,2014 - 2015,,,,129,66,0.51
,,2015 - 2016,,,,14,7,0.5
,,2016 - 2017,,,,21,11,0.52
,,2017 - 2018,,,,34,17,0.5
,,2018 - 2019,,,,70,36,0.51
,,2019 - 2020,,,,89,46,0.52
,,2020 - 2021,,,,185,95,0.51
,,2021 - 2022,,,,68,35,0.51
,,2022 - 2023,,,,174,89,0.51
,2. Bageshwar,2013 - 2014,,,,7,5,0.71
,,2014 - 2015,,,,3,2,0.67
,,2015 - 2016,,,,1,1,1
,,2016 - 2017,,,,2,1,0.5
,,2017 - 2018,,,,1,1,1
,,2018 - 2019,,,,16,11,0.69
,,2019 - 2020,,,,19,11,0.58
,,2020 - 2021,,,,1,1,1
,,2021 - 2022,,,,11,7,0.64
,,2022 - 2023,,,,26,16,0.62
,3. Chamoli,2013 - 2014,,,,84,63,0.75
,,2014 - 2015,,,,24,18,0.75
,,2015 - 2016,,,,77,57,0.74
,,2016 - 2017,,,,6,4,0.67
,,2017 - 2018,,,,230,171,0.74
,,2018 - 2019,,,,47,35,0.74
,,2019 - 2020,,,,35,23,0.66
,,2020 - 2021,,,,118,76,0.64
,,2021 - 2022,,,,26,18,0.69
,,2022 - 2023,,,,9,6,0.67
,4. Champawat,2013 - 2014,,,,25,22,0.88
,,2014 - 2015,,,,52,46,0.88
,,2015 - 2016,,,,62,51,0.82
,,2016 - 2017,,,,44,37,0.84
,,2017 - 2018,,,,39,33,0.85
,,2018 - 2019,,,,42,36,0.86
,,2019 - 2020,,,,123,76,0.62
,,2020 - 2021,,,,176,108,0.61
,,2021 - 2022,,,,129,96,0.74
,,2022 - 2023,,,,226,166,0.73
,5. Dehradun,2013 - 2014,,,,391,266,0.68
,,2014 - 2015,,,,328,226,0.69
,,2015 - 2016,,,,713,482,0.68
,,2016 - 2017,,,,46,32,0.7
,,2017 - 2018,,,,275,187,0.68
,,2018 - 2019,,,,396,282,0.71
,,2019 - 2020,,,,477,309,0.65
,,2020 - 2021,,,,229,141,0.62
,,2021 - 2022,,,,225,150,0.67
,,2022 - 2023,,,,447,297,0.66
,6. Haridwar,2013 - 2014,,,,25,21,0.84
,,2014 - 2015,,,,7,6,0.86
,,2015 - 2016,,,,11,7,0.64
,,2016 - 2017,,,,2,1,0.5
,,2017 - 2018,,,,1,1,1
,,2018 - 2019,,,,11,8,0.73
,,2019 - 2020,,,,10,7,0.7
,,2020 - 2021,,,,12,8,0.67
,,2021 - 2022,,,,20,14,0.7
,,2022 - 2023,,,,11,8,0.73
,7. Nainital,2013 - 2014,,,,305,265,0.87
,,2014 - 2015,,,,111,97,0.87
,,2015 - 2016,,,,120,103,0.86
,,2016 - 2017,,,,217,187,0.86
,,2017 - 2018,,,,59,51,0.86
,,2018 - 2019,,,,136,117,0.86
,,2019 - 2020,,,,50,34,0.68
,,2020 - 2021,,,,56,37,0.66
,,2021 - 2022,,,,102,67,0.66
,,2022 - 2023,,,,100,68,0.68
,8. Pauri garhwal,2013 - 2014,,,,18,12,0.67
,,2014 - 2015,,,,59,41,0.69
,,2015 - 2016,,,,49,34,0.69
,,2017 - 2018,,,,13,9,0.69
,,2018 - 2019,,,,11,8,0.73
,,2019 - 2020,,,,30,20,0.67
,,2020 - 2021,,,,87,59,0.68
,,2021 - 2022,,,,38,27,0.71
,,2022 - 2023,,,,37,26,0.7
,9. Pithoragarh,2013 - 2014,,,,196,115,0.59
,,2014 - 2015,,,,168,98,0.58
,,2015 - 2016,,,,68,38,0.56
,,2016 - 2017,,,,141,80,0.57
,,2017 - 2018,,,,96,55,0.57
,,2018 - 2019,,,,144,83,0.58
,,2019 - 2020,,,,209,120,0.57
,,2020 - 2021,,,,216,124,0.57
,,2021 - 2022,,,,164,94,0.57
,,2022 - 2023,,,,446,256,0.57
,10. Rudra prayag,2013 - 2014,,,,14,12,0.86
,,2015 - 2016,,,,44,34,0.77
,,2016 - 2017,,,,7,5,0.71
,,2017 - 2018,,,,18,14,0.78
,,2018 - 2019,,,,8,6,0.75
,,2019 - 2020,,,,10,6,0.6
,,2020 - 2021,,,,5,3,0.6
,,2021 - 2022,,,,16,11,0.69
,,2022 - 2023,,,,2,1,0.5
,11. Tehri garhwal,2013 - 2014,,,,176,91,0.52
,,2014 - 2015,,,,220,113,0.51
,,2015 - 2016,,,,104,56,0.54
,,2016 - 2017,,,,121,66,0.55
,,2017 - 2018,,,,174,96,0.55
,,2018 - 2019,,,,84,45,0.54
,,2019 - 2020,,,,9,5,0.56
,,2020 - 2021,,,,29,18,0.62
,,2021 - 2022,,,,107,61,0.57
,,2022 - 2023,,,,167,96,0.57
,12. Udam singh nagar,2013 - 2014,,,,"4,281.00","4,816.00",1.12
,,2014 - 2015,,,,"3,716.00","4,181.00",1.13
,,2015 - 2016,,,,"2,904.00","3,258.00",1.12
,,2016 - 2017,,,,"3,069.00","3,357.00",1.09
,,2017 - 2018,,,,"2,788.00","3,050.00",1.09
,,2018 - 2019,,,,"4,211.00","4,683.00",1.11
,,2019 - 2020,,,,"4,144.00","4,123.00",0.99
,,2020 - 2021,,,,"3,109.00","3,093.00",0.99
,,2021 - 2022,,,,"3,586.00","3,794.00",1.06
,,2022 - 2023,,,,"6,694.00","7,035.00",1.05
,13. Uttar kashi,2013 - 2014,,,,708,468,0.66
,,2014 - 2015,,,,755,499,0.66
,,2015 - 2016,,,,816,538,0.66
,,2016 - 2017,,,,556,368,0.66
,,2017 - 2018,,,,620,410,0.66
,,2018 - 2019,,,,376,201,0.53
,,2019 - 2020,,,,698,373,0.53
,,2020 - 2021,,,,696,372,0.53
,,2021 - 2022,,,,699,409,0.59
,,2022 - 2023,,,,559,319,0.57
20. West Bengal,1. 24 paraganas north,2013 - 2014,,,,687,794,1.16
,,2014 - 2015,,,,639,765,1.2
,,2015 - 2016,,,,"2,169.00","1,597.00",0.74
,,2016 - 2017,,,,"1,867.00","1,778.00",0.95
,,2017 - 2018,,,,"1,557.00","1,570.00",1.01
,,2018 - 2019,,,,"1,640.00","1,874.00",1.14
,,2019 - 2020,,,,"1,223.00",980,0.8
,,2020 - 2021,,,,"1,181.00","1,573.00",1.33
,,2021 - 2022,,,,"1,178.00","1,283.00",1.09
,,2022 - 2023,,,,"1,188.00","1,376.00",1.16
,2. 24 paraganas south,2013 - 2014,,,,"1,127.00","1,303.00",1.16
,,2014 - 2015,,,,"1,526.00","1,827.00",1.2
,,2015 - 2016,,,,"2,203.00","1,622.00",0.74
,,2016 - 2017,,,,"2,210.00","2,105.00",0.95
,,2017 - 2018,,,,604,609,1.01
,,2018 - 2019,,,,"1,785.00","2,040.00",1.14
,,2019 - 2020,,,,"1,250.00","1,001.00",0.8
,,2020 - 2021,,,,"1,194.00","1,590.00",1.33
,,2021 - 2022,,,,"1,148.00","1,251.00",1.09
,,2022 - 2023,,,,817,"1,948.00",2.38
,3. Alipurduar,2016 - 2017,,,,296,343,1.16
,,2017 - 2018,,,,278,308,1.11
,,2018 - 2019,,,,262,299,1.14
,,2019 - 2020,,,,249,230,0.92
,,2020 - 2021,,,,275,340,1.24
,,2021 - 2022,,,,294,291,0.99
,,2022 - 2023,,,,316,359,1.14
,4. Bankura,2013 - 2014,,,,56,67,1.2
,,2014 - 2015,,,,60,73,1.22
,,2015 - 2016,,,,87,59,0.68
,,2016 - 2017,,,,85,82,0.96
,,2017 - 2018,,,,340,376,1.11
,,2018 - 2019,,,,191,218,1.14
,,2019 - 2020,,,,521,481,0.92
,,2020 - 2021,,,,508,489,0.96
,,2021 - 2022,,,,531,525,0.99
,,2022 - 2023,,,,485,982,2.02
,5. Birbhum,2013 - 2014,,,,371,510,1.37
,,2014 - 2015,,,,417,423,1.01
,,2015 - 2016,,,,535,383,0.72
,,2016 - 2017,,,,448,554,1.24
,,2017 - 2018,,,,438,509,1.16
,,2018 - 2019,,,,451,698,1.55
,,2019 - 2020,,,,514,662,1.29
,,2020 - 2021,,,,346,461,1.33
,,2021 - 2022,,,,321,328,1.02
,,2022 - 2023,,,,364,385,1.06
,6. Coochbehar,2017 - 2018,,,,"1,060.00","1,173.00",1.11
,,2018 - 2019,,,,368,421,1.14
,,2019 - 2020,,,,"1,100.00","1,015.00",0.92
,,2020 - 2021,,,,"1,106.00","1,368.00",1.24
,,2021 - 2022,,,,"1,110.00","1,098.00",0.99
,,2022 - 2023,,,,"1,301.00","1,479.00",1.14
,7. Darjeeling,2013 - 2014,,,,225,258,1.15
,,2014 - 2015,,,,170,205,1.21
,,2015 - 2016,,,,409,306,0.75
,,2016 - 2017,,,,192,223,1.16
,,2017 - 2018,,,,56,62,1.11
,,2018 - 2019,,,,176,201,1.14
,,2019 - 2020,,,,202,186,0.92
,,2020 - 2021,,,,202,250,1.24
,,2021 - 2022,,,,202,200,0.99
,,2022 - 2023,,,,137,156,1.14
,8. Dinajpur dakshin,2013 - 2014,,,,41,47,1.15
,,2014 - 2015,,,,23,28,1.22
,,2015 - 2016,,,,23,17,0.74
,,2016 - 2017,,,,31,41,1.32
,,2017 - 2018,,,,24,31,1.29
,,2018 - 2019,,,,113,123,1.09
,,2019 - 2020,,,,573,602,1.05
,,2020 - 2021,,,,421,406,0.96
,,2021 - 2022,,,,425,318,0.75
,,2022 - 2023,,,,446,453,1.02
,9. Dinajpur uttar,2013 - 2014,,,,90,103,1.14
,,2014 - 2015,,,,197,238,1.21
,,2015 - 2016,,,,297,222,0.75
,,2016 - 2017,,,,288,382,1.33
,,2017 - 2018,,,,"1,298.00","1,663.00",1.28
,,2018 - 2019,,,,666,727,1.09
,,2019 - 2020,,,,"1,123.00","1,179.00",1.05
,,2020 - 2021,,,,645,769,1.19
,,2021 - 2022,,,,678,508,0.75
,,2022 - 2023,,,,728,740,1.02
,10. Hooghly,2013 - 2014,,,,183,259,1.42
,,2014 - 2015,,,,155,157,1.01
,,2015 - 2016,,,,143,105,0.73
,,2016 - 2017,,,,215,271,1.26
,,2017 - 2018,,,,728,888,1.22
,,2018 - 2019,,,,361,585,1.62
,,2019 - 2020,,,,645,878,1.36
,,2020 - 2021,,,,681,962,1.41
,,2021 - 2022,,,,735,791,1.08
,,2022 - 2023,,,,782,832,1.06
,11. Howrah,2013 - 2014,,,,39,45,1.15
,,2014 - 2015,,,,35,42,1.2
,,2015 - 2016,,,,2,1,0.5
,,2016 - 2017,,,,10,10,1
,,2017 - 2018,,,,112,113,1.01
,,2018 - 2019,,,,58,66,1.14
,,2019 - 2020,,,,158,127,0.8
,,2020 - 2021,,,,142,189,1.33
,,2021 - 2022,,,,31,34,1.1
,,2022 - 2023,,,,94,109,1.16
,12. Jalpaiguri,2013 - 2014,,,,166,190,1.14
,,2014 - 2015,,,,231,279,1.21
,,2015 - 2016,,,,695,520,0.75
,,2016 - 2017,,,,257,298,1.16
,,2017 - 2018,,,,328,363,1.11
,,2018 - 2019,,,,297,339,1.14
,,2019 - 2020,,,,"1,486.00","1,372.00",0.92
,,2020 - 2021,,,,"1,492.00","1,845.00",1.24
,,2021 - 2022,,,,"1,505.00","1,488.00",0.99
,,2022 - 2023,,,,"1,421.00","1,616.00",1.14
,13. Jhargram,2016 - 2017,,,,2,2,1
,,2017 - 2018,,,,336,361,1.07
,,2018 - 2019,,,,97,111,1.14
,,2019 - 2020,,,,326,301,0.92
,,2020 - 2021,,,,334,247,0.74
,,2021 - 2022,,,,358,354,0.99
,,2022 - 2023,,,,263,533,2.03
,14. Kalimpong,2016 - 2017,,,,52,60,1.15
,,2017 - 2018,,,,43,48,1.12
,,2018 - 2019,,,,55,63,1.15
,,2019 - 2020,,,,58,54,0.93
,,2020 - 2021,,,,53,66,1.25
,,2021 - 2022,,,,52,51,0.98
,,2022 - 2023,,,,59,67,1.14
,15. Maldah,2013 - 2014,,,,596,661,1.11
,,2014 - 2015,,,,465,590,1.27
,,2015 - 2016,,,,642,497,0.77
,,2016 - 2017,,,,614,815,1.33
,,2017 - 2018,,,,553,680,1.23
,,2018 - 2019,,,,619,797,1.29
,,2019 - 2020,,,,728,806,1.11
,,2020 - 2021,,,,604,607,1
,,2021 - 2022,,,,618,686,1.11
,,2022 - 2023,,,,885,951,1.07
,16. Medinipur east,2017 - 2018,,,,18,19,1.06
,,2018 - 2019,,,,17,19,1.12
,,2019 - 2020,,,,179,165,0.92
,17. Medinipur west,2014 - 2015,,,,10,10,1
,,2015 - 2016,,,,94,69,0.73
,,2016 - 2017,,,,45,44,0.98
,,2017 - 2018,,,,154,165,1.07
,,2018 - 2019,,,,94,107,1.14
,,2019 - 2020,,,,100,92,0.92
,,2020 - 2021,,,,192,142,0.74
,,2021 - 2022,,,,162,160,0.99
,,2022 - 2023,,,,187,379,2.03
,18. Murshidabad,2013 - 2014,,,,"1,823.00","3,208.00",1.76
,,2014 - 2015,,,,"2,294.00","4,157.00",1.81
,,2015 - 2016,,,,"4,110.00","2,571.00",0.63
,,2016 - 2017,,,,"3,489.00","4,871.00",1.4
,,2017 - 2018,,,,"2,785.00","3,837.00",1.38
,,2018 - 2019,,,,"3,434.00","3,811.00",1.11
,,2019 - 2020,,,,"3,067.00","3,322.00",1.08
,,2020 - 2021,,,,"2,921.00","3,745.00",1.28
,,2021 - 2022,,,,"2,212.00","1,723.00",0.78
,,2022 - 2023,,,,"2,623.00","2,828.00",1.08
,19. Nadia,2013 - 2014,,,,"6,902.00","7,093.00",1.03
,,2014 - 2015,,,,"7,489.00","7,575.00",1.01
,,2015 - 2016,,,,"3,609.00","3,346.00",0.93
,,2016 - 2017,,,,"3,506.00","3,379.00",0.96
,,2017 - 2018,,,,"6,361.00","6,394.00",1.01
,,2018 - 2019,,,,"5,872.00","6,711.00",1.14
,,2019 - 2020,,,,"5,616.00","4,527.00",0.81
,,2020 - 2021,,,,"5,077.00","4,386.00",0.86
,,2021 - 2022,,,,"4,526.00","2,955.00",0.65
,,2022 - 2023,,,,"3,687.00","3,071.00",0.83
,20. Paschim bardhaman,2017 - 2018,,,,92,112,1.22
,,2020 - 2021,,,,27,38,1.41
,,2021 - 2022,,,,37,40,1.08
,,2022 - 2023,,,,78,83,1.06
,21. Purba bardhaman,2013 - 2014,,,,343,459,1.34
,,2014 - 2015,,,,391,397,1.02
,,2015 - 2016,,,,7,5,0.71
,,2016 - 2017,,,,20,25,1.25
,,2017 - 2018,,,,437,533,1.22
,,2018 - 2019,,,,374,606,1.62
,,2019 - 2020,,,,453,617,1.36
,,2020 - 2021,,,,353,499,1.41
,,2021 - 2022,,,,342,368,1.08
,,2022 - 2023,,,,219,270,1.23
,22. Purulia,2013 - 2014,,,,12,17,1.42
,,2014 - 2015,,,,12,12,1
,,2016 - 2017,,,,57,55,0.96
,,2017 - 2018,,,,362,389,1.07
,,2018 - 2019,,,,170,194,1.14
,,2019 - 2020,,,,470,434,0.92
,,2020 - 2021,,,,452,334,0.74
,,2021 - 2022,,,,553,547,0.99
,,2022 - 2023,,,,632,"1,280.00",2.03
