State,District,Year,rice_area,rice_production,rice_yield
Arunachal Pradesh,Dibang valley,2021-2022,1896.0,2262.66,1.19
Arunachal Pradesh,Dibang valley,2022-2023,1917.0,2297.3,1.2
Arunachal Pradesh,East kameng,2013-2014,8968.0,9087.0,1.01
Arunachal Pradesh,East kameng,2014-2015,8968.0,9436.0,1.05
Arunachal Pradesh,East kameng,2015-2016,9062.0,11137.0,1.23
Arunachal Pradesh,East kameng,2016-2017,9047.0,11158.0,1.23
Arunachal Pradesh,East kameng,2017-2018,9095.0,11824.66,1.3
Arunachal Pradesh,East kameng,2018-2019,9119.0,11903.0,1.31
Arunachal Pradesh,East kameng,2019-2020,6393.0,8483.0,1.33
Arunachal Pradesh,East kameng,2020-2021,6404.0,8574.0,1.34
Arunachal Pradesh,East kameng,2021-2022,6504.0,8737.33,1.34
Arunachal Pradesh,East kameng,2022-2023,6532.0,8808.6,1.35
Arunachal Pradesh,East siang,2013-2014,16770.0,27044.0,1.61
Arunachal Pradesh,East siang,2014-2015,16120.0,27463.0,1.7
Arunachal Pradesh,East siang,2015-2016,11378.0,19388.0,1.7
Arunachal Pradesh,East siang,2016-2017,11743.0,21388.0,1.82
Arunachal Pradesh,East siang,2017-2018,11791.0,22816.66,1.94
Arunachal Pradesh,East siang,2018-2019,14046.0,25650.6,1.83
Arunachal Pradesh,East siang,2019-2020,14060.0,25866.0,1.84
Arunachal Pradesh,East siang,2020-2021,14071.0,25912.0,1.84
Arunachal Pradesh,East siang,2021-2022,14441.0,26764.0,1.85
Arunachal Pradesh,East siang,2022-2023,15132.0,28076.6,1.86
Arunachal Pradesh,Kamle,2018-2019,3581.0,7845.0,2.19
Arunachal Pradesh,Kamle,2019-2020,3595.0,8061.0,2.24
Arunachal Pradesh,Kamle,2020-2021,3606.0,8152.0,2.26
Arunachal Pradesh,Kamle,2021-2022,3656.0,8165.33,2.23
Arunachal Pradesh,Kamle,2022-2023,3658.0,7074.0,1.93
Arunachal Pradesh,Kra daadi,2015-2016,181.0,1299.0,7.18
Arunachal Pradesh,Kra daadi,2016-2017,500.0,678.66,1.36
Arunachal Pradesh,Kra daadi,2017-2018,570.0,878.66,1.54
Arunachal Pradesh,Kra daadi,2018-2019,594.0,957.3,1.61
Arunachal Pradesh,Kra daadi,2019-2020,608.0,1173.0,1.93
Arunachal Pradesh,Kra daadi,2020-2021,619.0,1264.0,2.04
Arunachal Pradesh,Kra daadi,2021-2022,645.0,1294.0,2.01
Arunachal Pradesh,Kra daadi,2022-2023,664.0,1327.3,2.0
Arunachal Pradesh,Kurung kumey,2013-2014,53.0,74.0,1.4
Arunachal Pradesh,Kurung kumey,2014-2015,53.0,74.0,1.4
Arunachal Pradesh,Kurung kumey,2015-2016,156.0,1092.0,7.0
Arunachal Pradesh,Kurung kumey,2016-2017,535.0,718.66,1.34
Arunachal Pradesh,Kurung kumey,2017-2018,601.0,918.66,1.53
Arunachal Pradesh,Kurung kumey,2018-2019,625.0,997.3,1.6
Arunachal Pradesh,Kurung kumey,2019-2020,639.0,1213.0,1.9
Arunachal Pradesh,Kurung kumey,2020-2021,650.0,1304.0,2.01
Arunachal Pradesh,Kurung kumey,2021-2022,670.0,1335.33,1.99
Arunachal Pradesh,Kurung kumey,2022-2023,691.0,1378.6,2.0
Arunachal Pradesh,Leparada,2019-2020,3521.0,5649.0,1.6
Arunachal Pradesh,Leparada,2020-2021,3532.0,5740.0,1.63
Arunachal Pradesh,Leparada,2021-2022,3612.0,6002.66,1.66
Arunachal Pradesh,Leparada,2022-2023,3664.0,6133.3,1.67
Arunachal Pradesh,Lohit,2013-2014,12150.0,21662.0,1.78
Arunachal Pradesh,Lohit,2014-2015,11450.0,22080.0,1.93
Arunachal Pradesh,Lohit,2015-2016,4655.0,8804.0,1.89
Arunachal Pradesh,Lohit,2016-2017,4559.0,9353.33,2.05
Arunachal Pradesh,Lohit,2017-2018,4607.0,9515.33,2.07
Arunachal Pradesh,Lohit,2018-2019,4631.0,9594.0,2.07
Arunachal Pradesh,Lohit,2019-2020,4645.0,9810.0,2.11
Arunachal Pradesh,Lohit,2020-2021,4656.0,9900.67,2.13
Arunachal Pradesh,Lohit,2021-2022,4736.0,10040.0,2.12
Arunachal Pradesh,Lohit,2022-2023,4764.0,10155.3,2.13
Arunachal Pradesh,Longding,2013-2014,2890.0,2504.0,0.87
Arunachal Pradesh,Longding,2014-2015,2890.0,2923.0,1.01
Arunachal Pradesh,Longding,2015-2016,2984.0,3484.0,1.17
Arunachal Pradesh,Longding,2016-2017,2984.0,4817.33,1.61
Arunachal Pradesh,Longding,2017-2018,3032.0,4979.33,1.64
Arunachal Pradesh,Longding,2018-2019,3056.0,5058.0,1.66
Arunachal Pradesh,Longding,2019-2020,3070.0,5280.0,1.72
Arunachal Pradesh,Longding,2020-2021,3080.0,5371.33,1.74
Arunachal Pradesh,Longding,2021-2022,3130.0,5477.33,1.75
Arunachal Pradesh,Longding,2022-2023,3154.0,5545.3,1.76
Arunachal Pradesh,Lower dibang valley,2013-2014,14595.0,16058.0,1.1
Arunachal Pradesh,Lower dibang valley,2014-2015,13906.0,16479.0,1.19
Arunachal Pradesh,Lower dibang valley,2015-2016,14000.0,18133.0,1.3
Arunachal Pradesh,Lower dibang valley,2016-2017,14640.0,20800.0,1.42
Arunachal Pradesh,Lower dibang valley,2017-2018,14688.0,22300.0,1.52
Arunachal Pradesh,Lower dibang valley,2018-2019,14712.0,22496.6,1.53
Arunachal Pradesh,Lower dibang valley,2019-2020,14726.0,22712.0,1.54
Arunachal Pradesh,Lower dibang valley,2020-2021,14737.0,22803.33,1.55
Arunachal Pradesh,Lower dibang valley,2021-2022,15107.0,23667.33,1.57
Arunachal Pradesh,Lower dibang valley,2022-2023,14475.0,23848.6,1.65
Arunachal Pradesh,Lower siang,2018-2019,5428.0,8189.3,1.51
Arunachal Pradesh,Lower siang,2019-2020,4898.0,7564.0,1.54
Arunachal Pradesh,Lower siang,2020-2021,4909.0,7655.33,1.56
Arunachal Pradesh,Lower siang,2021-2022,4959.0,7748.66,1.56
Arunachal Pradesh,Lower siang,2022-2023,4989.0,7836.0,1.57
Arunachal Pradesh,Lower subansiri,2013-2014,8373.0,14792.0,1.77
Arunachal Pradesh,Lower subansiri,2014-2015,7673.0,15210.0,1.98
Arunachal Pradesh,Lower subansiri,2015-2016,7767.0,15399.0,1.98
Arunachal Pradesh,Lower subansiri,2016-2017,8067.0,18044.0,2.24
Arunachal Pradesh,Lower subansiri,2017-2018,8115.0,18206.0,2.24
Arunachal Pradesh,Lower subansiri,2018-2019,6033.0,12213.3,2.02
Arunachal Pradesh,Lower subansiri,2019-2020,6047.0,12429.0,2.06
