State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2014 - 2015,11,5,0.45,,,,,,,,,
,,2015 - 2016,9,4,0.44,,,,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,9,4,0.44,,,,,,,,,
,,2019 - 2020,9,4,0.44,,,,,,,,,
,,2020 - 2021,5,2,0.4,,,,,,,,,
,,2021 - 2022,5,2,0.4,,,,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,,,,
,2. Barpeta,2013 - 2014,8,4,0.5,,,,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2017 - 2018,2,2,1,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,3. Biswanath,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,14,5,0.36,,,,,,,,,
,,2022 - 2023,14,4,0.29,,,,,,,,,
,4. Bongaigaon,2013 - 2014,3,1,0.33,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,5. Cachar,2013 - 2014,94,34,0.36,,,,,,,,,
,,2014 - 2015,96,35,0.36,,,,,,,,,
,,2015 - 2016,96,36,0.38,,,,,,,,,
,,2016 - 2017,88,32,0.36,,,,,,,,,
,,2017 - 2018,80,31,0.39,,,,,,,,,
,,2018 - 2019,73,28,0.38,,,,,,,,,
,,2019 - 2020,70,29,0.41,,,,,,,,,
,,2020 - 2021,72,30,0.42,,,,,,,,,
,,2021 - 2022,73,32,0.44,,,,,,,,,
,,2022 - 2023,72,27,0.38,,,,,,,,,
,6. Chirang,2013 - 2014,27,11,0.41,,,,,,,,,
,,2014 - 2015,24,10,0.42,,,,,,,,,
,,2015 - 2016,29,14,0.48,,,,,,,,,
,,2016 - 2017,16,7,0.44,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,9,3,0.33,,,,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,,,,
,7. Darrang,2013 - 2014,2,1,0.5,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,
,,2017 - 2018,2,5,2.5,,,,,,,,,
,,2018 - 2019,2,5,2.5,,,,,,,,,
,,2019 - 2020,1,3,3,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,8. Dhemaji,2013 - 2014,9,4,0.44,,,,,,,,,
,,2014 - 2015,11,4,0.36,,,,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,4,2,0.5,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,7,3,0.43,,,,,,,,,
,9. Dibrugarh,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,10. Dima hasao,2013 - 2014,11,5,0.45,,,,,,,,,
,,2014 - 2015,57,27,0.47,,,,,,,,,
,,2015 - 2016,63,30,0.48,,,,,,,,,
,,2016 - 2017,62,31,0.5,,,,,,,,,
