State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2021 - 2022,"11,712.00","37,500.00",3.2,,,,,,,,,
,,2022 - 2023,"8,510.00","22,360.00",2.63,,,,,,,,,
,8. Jind,2013 - 2014,"73,000.00","2,31,000.00",3.16,,,,,,,,,
,,2014 - 2015,"76,000.00","2,14,000.00",2.82,,,,,,,,,
,,2015 - 2016,"72,000.00","75,000.00",1.04,,,,,,,,,
,,2016 - 2017,"58,400.00","1,72,800.00",2.96,,,,,,,,,
,,2017 - 2018,"62,500.00","1,72,200.00",2.76,,,,,,,,,
,,2018 - 2019,"61,200.00","1,62,400.00",2.65,,,,,,,,,
,,2019 - 2020,"61,600.00","2,09,400.00",3.4,,,,,,,,,
,,2020 - 2021,70,0.23,0,,,,,,,,,
,,2021 - 2022,"49,677.00","1,63,600.00",3.29,,,,,,,,,
,,2022 - 2023,"26,230.00","38,330.00",1.46,,,,,,,,,
,9. Kaithal,2013 - 2014,"11,000.00","47,000.00",4.27,,,,,,,,,
,,2014 - 2015,"10,000.00","33,000.00",3.3,,,,,,,,,
,,2015 - 2016,"11,000.00","14,000.00",1.27,,,,,,,,,
,,2016 - 2017,"8,000.00","18,100.00",2.26,,,,,,,,,
,,2017 - 2018,"7,200.00","22,200.00",3.08,,,,,,,,,
,,2018 - 2019,"6,500.00","18,500.00",2.85,,,,,,,,,
,,2019 - 2020,"4,800.00","13,500.00",2.81,,,,,,,,,
,,2020 - 2021,"6,100.00",20.56,0,,,,,,,,,
,,2021 - 2022,"5,558.00","18,700.00",3.36,,,,,,,,,
,,2022 - 2023,"2,600.00","6,550.00",2.52,,,,,,,,,
,10. Karnal,2016 - 2017,100,400,4,,,,,,,,,
,,2021 - 2022,28,100,3.57,,,,,,,,,
,,2022 - 2023,10,20,2,,,,,,,,,
,11. Mahendragarh,2013 - 2014,"4,000.00","12,000.00",3,,,,,,,,,
,,2014 - 2015,"7,000.00","22,000.00",3.14,,,,,,,,,
,,2015 - 2016,"17,000.00","35,000.00",2.06,,,,,,,,,
,,2016 - 2017,"14,500.00","50,200.00",3.46,,,,,,,,,
,,2017 - 2018,"25,900.00","78,100.00",3.02,,,,,,,,,
,,2018 - 2019,"32,400.00","1,01,200.00",3.12,,,,,,,,,
,,2019 - 2020,"23,400.00","74,600.00",3.19,,,,,,,,,
,,2020 - 2021,"18,400.00",38.32,0,,,,,,,,,
,,2021 - 2022,"16,884.00","35,200.00",2.08,,,,,,,,,
,,2022 - 2023,"17,170.00","53,070.00",3.09,,,,,,,,,
,12. Mewat,2014 - 2015,"1,000.00","3,000.00",3,,,,,,,,,
,,2015 - 2016,"3,000.00","5,000.00",1.67,,,,,,,,,
,,2016 - 2017,"2,900.00","7,200.00",2.48,,,,,,,,,
,,2017 - 2018,"5,100.00","15,900.00",3.12,,,,,,,,,
,,2018 - 2019,"5,600.00","18,600.00",3.32,,,,,,,,,
,,2019 - 2020,"8,200.00","28,600.00",3.49,,,,,,,,,
,,2020 - 2021,"5,490.00",18.05,0,,,,,,,,,
,,2021 - 2022,"3,592.00","11,800.00",3.29,,,,,,,,,
,,2022 - 2023,"1,730.00","5,430.00",3.14,,,,,,,,,
,13. Palwal,2013 - 2014,"1,000.00","4,000.00",4,,,,,,,,,
,,2014 - 2015,"4,000.00","12,000.00",3,,,,,,,,,
,,2015 - 2016,"6,000.00","10,000.00",1.67,,,,,,,,,
,,2016 - 2017,"9,800.00","30,400.00",3.1,,,,,,,,,
,,2017 - 2018,"16,600.00","38,500.00",2.32,,,,,,,,,
,,2018 - 2019,"17,600.00","54,900.00",3.12,,,,,,,,,
,,2019 - 2020,"26,600.00","90,900.00",3.42,,,,,,,,,
,,2020 - 2021,"29,880.00",102.47,0,,,,,,,,,
,,2021 - 2022,"23,419.00","80,300.00",3.43,,,,,,,,,
,,2022 - 2023,"17,210.00","31,920.00",1.85,,,,,,,,,
,14. Panipat,2016 - 2017,100,400,4,,,,,,,,,
,,2020 - 2021,100,0.33,0,,,,,,,,,
,,2021 - 2022,77,300,3.9,,,,,,,,,
,,2022 - 2023,50,170,3.4,,,,,,,,,
,15. Rewari,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2014 - 2015,"2,000.00","5,000.00",2.5,,,,,,,,,
,,2015 - 2016,"7,000.00","8,000.00",1.14,,,,,,,,,
,,2016 - 2017,"4,800.00","13,100.00",2.73,,,,,,,,,
,,2017 - 2018,"7,800.00","22,100.00",2.83,,,,,,,,,
,,2018 - 2019,"12,800.00","16,700.00",1.3,,,,,,,,,
,,2019 - 2020,"18,900.00","46,800.00",2.48,,,,,,,,,
,,2020 - 2021,"12,490.00",21.16,0,,,,,,,,,
,,2021 - 2022,"9,416.00","16,000.00",1.7,,,,,,,,,
,,2022 - 2023,"7,250.00","13,950.00",1.92,,,,,,,,,
,16. Rohtak,2013 - 2014,"14,000.00","29,000.00",2.07,,,,,,,,,
,,2014 - 2015,"17,000.00","34,000.00",2,,,,,,,,,
,,2015 - 2016,"17,000.00","32,000.00",1.88,,,,,,,,,
,,2016 - 2017,"15,000.00","36,500.00",2.43,,,,,,,,,
,,2017 - 2018,"14,500.00","39,300.00",2.71,,,,,,,,,
,,2018 - 2019,"12,700.00","37,400.00",2.94,,,,,,,,,
,,2019 - 2020,"14,500.00","40,900.00",2.82,,,,,,,,,
,,2020 - 2021,"15,470.00",47.59,0,,,,,,,,,
,,2021 - 2022,"13,411.00","41,300.00",3.08,,,,,,,,,
,,2022 - 2023,"9,510.00","19,530.00",2.05,,,,,,,,,
,17. Sirsa,2013 - 2014,"1,79,000.00","7,34,000.00",4.1,,,,,,,,,
,,2014 - 2015,"1,90,000.00","6,95,000.00",3.66,,,,,,,,,
,,2015 - 2016,"1,74,000.00","3,03,000.00",1.74,,,,,,,,,
,,2016 - 2017,"1,78,600.00","7,29,100.00",4.08,,,,,,,,,
,,2017 - 2018,"1,98,800.00","3,74,700.00",1.88,,,,,,,,,
,,2018 - 2019,"1,93,200.00","6,35,300.00",3.29,,,,,,,,,
,,2019 - 2020,"1,98,900.00","8,35,400.00",4.2,,,,,,,,,
,,2020 - 2021,"2,09,190.00",499.59,0,,,,,,,,,
,,2021 - 2022,"1,87,543.00","4,47,800.00",2.39,,,,,,,,,
,,2022 - 2023,"1,91,550.00","2,97,570.00",1.55,,,,,,,,,
,18. Sonipat,2013 - 2014,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2014 - 2015,"4,000.00","11,000.00",2.75,,,,,,,,,
,,2015 - 2016,"4,000.00","10,000.00",2.5,,,,,,,,,
,,2016 - 2017,"3,400.00","12,200.00",3.59,,,,,,,,,
,,2017 - 2018,"3,800.00","15,200.00",4,,,,,,,,,
,,2018 - 2019,"4,600.00","15,100.00",3.28,,,,,,,,,
,,2019 - 2020,"3,700.00","10,400.00",2.81,,,,,,,,,
,,2020 - 2021,"5,790.00",20.88,0,,,,,,,,,
,,2021 - 2022,"5,791.00","20,900.00",3.61,,,,,,,,,
,,2022 - 2023,"2,820.00","7,080.00",2.51,,,,,,,,,
6. Himachal Pradesh,1. Kangra,2013 - 2014,1,0.5,0.5,,,,,,,,,
,,2014 - 2015,4,1.57,0.39,,,,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,,,,
,,2018 - 2019,25,9,0.36,,,,,,,,,
,,2019 - 2020,15,7,0.47,,,,,,,,,
,2. Solan,2013 - 2014,3,1,0.33,,,,,,,,,
,,2016 - 2017,27,11,0.41,,,,,,,,,
7. Jammu and Kashmir,1. Samba,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,,,,
,,2017 - 2018,5,2.6,0.52,,,,,,,,,
8. Karnataka,1. Bagalkot,2013 - 2014,606,"1,795.00",2.96,354,653,1.84,,,,,,
,,2014 - 2015,"3,299.00","8,996.00",2.73,210,334,1.59,,,,350,663,1.89
,,2015 - 2016,"1,618.00","6,401.00",3.96,200,239,1.2,,,,2,4,2
,,2016 - 2017,794,"1,664.00",2.1,210,67,0.32,,,,,,
,,2017 - 2018,"1,389.00","4,859.00",3.5,143,108,0.76,,,,,,
,,2018 - 2019,"1,006.00","1,973.00",1.96,,,,,,,,,
,,2019 - 2020,"1,052.00","3,039.00",2.89,169,122,0.72,,,,,,
,,2020 - 2021,"2,433.00","6,998.00",2.88,242,144,0.6,,,,,,
,,2021 - 2022,"1,606.00","4,743.00",2.95,262,209,0.8,,,,,,
,,2022 - 2023,"2,536.00","8,280.00",3.26,209,188,0.9,,,,,,
,2. Bangalore rural,2013 - 2014,2,6,3,,,,,,,,,
,,2015 - 2016,2,4,2,,,,,,,,,
,,2018 - 2019,3,6,2,,,,,,,,,
,,2019 - 2020,2,6,3,1,1,1,,,,,,
,,2020 - 2021,2,6,3,,,,,,,,,
,,2021 - 2022,1,3,3,,,,,,,,,
,,2022 - 2023,2,6,3,,,,,,,,,
,3. Belgaum,2013 - 2014,"29,844.00","83,384.00",2.79,"1,256.00","2,316.00",1.84,,,,265,955,3.6
,,2014 - 2015,"39,811.00","1,08,785.00",2.73,470,749,1.59,,,,29,55,1.9
,,2015 - 2016,"39,429.00","58,828.00",1.49,110,132,1.2,,,,39,83,2.13
,,2016 - 2017,"54,634.00","1,45,320.00",2.66,90,29,0.32,,,,,,
,,2017 - 2018,"30,997.00","1,01,675.00",3.28,,,,,,,,,
,,2018 - 2019,"63,580.00","1,67,339.00",2.63,,,,,,,,,
,,2019 - 2020,"42,272.00","92,597.00",2.19,"1,020.00",735,0.72,,,,,,
,,2020 - 2021,"39,046.00","95,088.00",2.44,"1,104.00",656,0.59,,,,,,
,,2021 - 2022,"22,435.00","54,768.00",2.44,"1,463.00","1,171.00",0.8,,,,,,
,,2022 - 2023,"30,394.00","69,012.00",2.27,"1,933.00","1,739.00",0.9,,,,,,
,4. Bellary,2013 - 2014,"72,108.00","1,84,949.00",2.56,"1,096.00","2,021.00",1.84,,,,"1,095.00","3,947.00",3.6
,,2014 - 2015,"78,646.00","2,42,150.00",3.08,"2,687.00","4,369.00",1.63,,,,"1,010.00","1,913.00",1.89
,,2015 - 2016,"65,890.00","1,42,491.00",2.16,"1,171.00","2,716.00",2.32,,,,989,"2,095.00",2.12
,,2016 - 2017,"48,032.00","1,33,665.00",2.78,28,9,0.32,,,,,,
,,2017 - 2018,"58,997.00","1,98,794.00",3.37,164,124,0.76,,,,,,
,,2018 - 2019,"45,465.00","1,19,916.00",2.64,155,74,0.48,,,,,,
,,2019 - 2020,"55,927.00","1,71,886.00",3.07,971,700,0.72,,,,,,
,,2020 - 2021,"49,105.00","1,67,246.00",3.41,"1,211.00",719,0.59,,,,,,
,,2021 - 2022,"32,812.00","98,823.00",3.01,"2,187.00","1,750.00",0.8,,,,,,
,,2022 - 2023,"34,739.00","1,21,791.00",3.51,"1,238.00","1,114.00",0.9,,,,,,
,5. Bengaluru urban,2018 - 2019,14,27,1.93,,,,,,,,,
,,2019 - 2020,3,9,3,,,,,,,,,
,,2022 - 2023,2,6,3,,,,,,,,,
,6. Bidar,2013 - 2014,319,945,2.96,,,,,,,,,
,,2014 - 2015,291,794,2.73,,,,,,,,,
,,2015 - 2016,283,520,1.84,,,,,,,,,
,,2016 - 2017,51,107,2.1,,,,,,,,,
,,2017 - 2018,490,"1,714.00",3.5,,,,,,,,,
,,2018 - 2019,446,875,1.96,,,,,,,,,
,,2019 - 2020,"3,087.00","8,918.00",2.89,11,8,0.73,,,,,,
,,2020 - 2021,"3,396.00","9,768.00",2.88,13,8,0.62,,,,,,
,,2021 - 2022,"2,560.00","7,559.00",2.95,45,36,0.8,,,,,,
,,2022 - 2023,"3,543.00","8,107.00",2.29,,,,,,,,,
,7. Bijapur,2013 - 2014,"9,881.00","23,301.00",2.36,446,"1,201.00",2.69,,,,92,332,3.61
,,2014 - 2015,"14,303.00","32,450.00",2.27,224,357,1.59,,,,37,70,1.89
,,2015 - 2016,"7,578.00","11,264.00",1.49,130,155,1.19,,,,9,19,2.11
,,2016 - 2017,"10,272.00","27,322.00",2.66,46,15,0.33,,,,,,
,,2017 - 2018,"12,003.00","32,262.00",2.69,117,88,0.75,,,,,,
,,2018 - 2019,"34,297.00","59,029.00",1.72,272,131,0.48,,,,,,
,,2019 - 2020,"50,936.00","1,04,459.00",2.05,570,411,0.72,,,,,,
,,2020 - 2021,"46,446.00","98,356.00",2.12,775,460,0.59,,,,,,
,,2021 - 2022,"35,046.00","99,159.00",2.83,611,488,0.8,,,,,,
,,2022 - 2023,"83,073.00","2,46,775.00",2.97,"2,365.00","2,128.00",0.9,,,,,,
,8. Chamarajanagar,2013 - 2014,"10,166.00","30,108.00",2.96,,,,,,,,,
,,2014 - 2015,"15,063.00","17,592.00",1.17,,,,,,,,,
,,2015 - 2016,"13,584.00","14,271.00",1.05,,,,,,,,,
,,2016 - 2017,"8,975.00","2,307.00",0.26,,,,,,,,,
,,2017 - 2018,"10,014.00","22,215.00",2.22,,,,,,,,,
,,2018 - 2019,"7,097.00","8,526.00",1.2,,,,,,,,,
,,2019 - 2020,"10,031.00","12,724.00",1.27,60,43,0.72,,,,,,
,,2020 - 2021,"8,906.00","11,997.00",1.35,278,165,0.59,,,,,,
,,2021 - 2022,"7,074.00","13,065.00",1.85,272,218,0.8,,,,,,
,,2022 - 2023,"8,593.00","16,528.00",1.92,54,49,0.91,,,,,,
,9. Chikballapur,2013 - 2014,160,474,2.96,,,,,,,,,
,,2014 - 2015,67,183,2.73,,,,,,,,,
,,2015 - 2016,107,197,1.84,,,,,,,,,
,,2016 - 2017,109,228,2.09,,,,,,,,,
,,2017 - 2018,40,140,3.5,,,,,,,,,
,,2018 - 2019,118,231,1.96,,,,,,,,,
,,2019 - 2020,182,526,2.89,41,30,0.73,,,,,,
,,2020 - 2021,83,239,2.88,60,36,0.6,,,,,,
,,2021 - 2022,117,344,2.94,95,76,0.8,,,,,,
,,2022 - 2023,97,317,3.27,401,361,0.9,,,,,,
,10. Chikmagalur,2013 - 2014,"1,299.00","1,386.00",1.07,,,,,,,,,
,,2014 - 2015,"1,843.00","3,018.00",1.64,,,,,,,,,
,,2015 - 2016,"1,364.00","1,867.00",1.37,,,,,,,,,
,,2016 - 2017,"1,570.00","1,009.00",0.64,,,,,,,,,
,,2017 - 2018,"1,883.00","3,893.00",2.07,,,,,,,,,
,,2018 - 2019,"1,689.00","2,775.00",1.64,,,,,,,,,
,,2019 - 2020,"1,063.00","2,020.00",1.9,5,4,0.8,,,,,,
,,2020 - 2021,993,"5,888.00",5.93,3,2,0.67,,,,,,
,,2021 - 2022,"1,687.00","4,464.00",2.65,61,49,0.8,,,,,,
,,2022 - 2023,"3,703.00","8,845.00",2.39,43,39,0.91,,,,,,
,11. Chitradurga,2013 - 2014,"20,250.00","34,287.00",1.69,716,"1,320.00",1.84,,,,,,
,,2014 - 2015,"28,366.00","48,504.00",1.71,91,141,1.55,,,,84,159,1.89
,,2015 - 2016,"16,703.00","22,121.00",1.32,44,53,1.2,,,,11,23,2.09
,,2016 - 2017,"8,788.00","8,004.00",0.91,,,,,,,,,
,,2017 - 2018,"10,255.00","19,656.00",1.92,59,45,0.76,,,,,,
,,2018 - 2019,"9,459.00","16,544.00",1.75,24,12,0.5,,,,,,
,,2019 - 2020,"17,023.00","30,440.00",1.79,878,633,0.72,,,,,,
,,2020 - 2021,"11,119.00","26,555.00",2.39,192,114,0.59,,,,,,
,,2021 - 2022,"10,822.00","23,363.00",2.16,,,,,,,,,
,,2022 - 2023,"21,067.00","33,459.00",1.59,"2,765.00","2,488.00",0.9,,,,,,
,12. Davangere,2013 - 2014,"19,895.00","25,348.00",1.27,131,242,1.85,,,,552,"1,990.00",3.61
,,2014 - 2015,"20,325.00","29,075.00",1.43,259,412,1.59,,,,130,246,1.89
,,2015 - 2016,"15,483.00","37,376.00",2.41,205,245,1.2,,,,,,
,,2016 - 2017,"9,109.00","10,638.00",1.17,48,15,0.31,,,,,,
,,2017 - 2018,"4,740.00","6,728.00",1.42,28,21,0.75,,,,,,
,,2018 - 2019,"3,038.00","5,636.00",1.86,,,,,,,,,
,,2019 - 2020,"2,580.00","4,642.00",1.8,245,177,0.72,,,,,,
,,2020 - 2021,"1,654.00","3,940.00",2.38,102,61,0.6,,,,,,
,,2021 - 2022,"1,026.00","1,998.00",1.95,233,187,0.8,,,,,,
,,2022 - 2023,"2,071.00","3,204.00",1.55,152,137,0.9,,,,,,
,13. Dharwad,2013 - 2014,"60,529.00","79,824.00",1.32,"29,968.00","55,262.00",1.84,,,,,,
,,2014 - 2015,"80,222.00","1,67,657.00",2.09,"16,962.00","18,388.00",1.08,,,,,,
,,2015 - 2016,"55,443.00","52,669.00",0.95,"11,445.00","10,872.00",0.95,,,,,,
,,2016 - 2017,"64,507.00","89,395.00",1.39,"5,765.00","3,157.00",0.55,,,,,,
,,2017 - 2018,"34,189.00","58,652.00",1.72,"8,444.00","5,473.00",0.65,,,,,,
,,2018 - 2019,"51,001.00","75,808.00",1.49,"2,004.00",784,0.39,,,,,,
,,2019 - 2020,"80,677.00","1,64,550.00",2.04,"2,118.00","1,491.00",0.7,,,,,,
,,2020 - 2021,"84,861.00","1,57,242.00",1.85,"4,107.00","2,319.00",0.56,,,,,,
,,2021 - 2022,"53,479.00","1,01,609.00",1.9,"2,419.00","1,309.00",0.54,,,,,,
,,2022 - 2023,"46,840.00","85,139.00",1.82,"2,194.00","1,807.00",0.82,,,,,,
,14. Gadag,2013 - 2014,"25,670.00","1,00,411.00",3.91,"32,535.00","59,632.00",1.83,,,,,,
,,2014 - 2015,"64,795.00","1,98,055.00",3.06,"33,366.00","65,817.00",1.97,,,,,,
,,2015 - 2016,"31,488.00","62,464.00",1.98,"17,358.00","23,279.00",1.34,,,,,,
,,2016 - 2017,"36,249.00","67,857.00",1.87,"16,878.00","4,244.00",0.25,,,,,,
,,2017 - 2018,"22,095.00","88,773.00",4.02,"13,135.00","10,790.00",0.82,,,,,,
,,2018 - 2019,"24,238.00","32,235.00",1.33,"1,433.00",657,0.46,,,,,,
,,2019 - 2020,"30,731.00","81,398.00",2.65,"4,627.00","3,387.00",0.73,,,,,,
,,2020 - 2021,"31,224.00","71,999.00",2.31,"3,631.00","2,307.00",0.64,,,,,,
,,2021 - 2022,"19,395.00","50,656.00",2.61,"2,176.00","2,355.00",1.08,,,,,,
,,2022 - 2023,"19,992.00","38,102.00",1.91,"2,657.00","2,563.00",0.96,,,,,,
,15. Gulbarga,2013 - 2014,"47,273.00","2,69,445.00",5.7,,,,,,,,,
,,2014 - 2015,"82,637.00","3,38,020.00",4.09,,,,,,,,,
,,2015 - 2016,"49,322.00","1,03,630.00",2.1,,,,,,,,,
,,2016 - 2017,"32,830.00","1,07,321.00",3.27,,,,,,,,,
,,2017 - 2018,"62,289.00","3,24,402.00",5.21,,,,,,,,,
,,2018 - 2019,"68,183.00","2,03,077.00",2.98,,,,,,,,,
,,2019 - 2020,"1,00,845.00","3,79,250.00",3.76,439,316,0.72,,,,,,
,,2020 - 2021,"1,06,528.00","2,53,787.00",2.38,"1,254.00",745,0.59,,,,,,
,,2021 - 2022,"67,065.00","2,05,930.00",3.07,441,353,0.8,,,,,,
,,2022 - 2023,"1,32,631.00","4,33,002.00",3.26,"1,702.00","1,532.00",0.9,,,,,,
,16. Hassan,2013 - 2014,281,832,2.96,,,,,,,,,
,,2014 - 2015,400,"1,091.00",2.73,,,,,,,,,
,,2015 - 2016,354,651,1.84,,,,,,,,,
,,2016 - 2017,97,94,0.97,,,,,,,,,
,,2017 - 2018,125,416,3.33,,,,,,,,,
,,2018 - 2019,48,54,1.13,,,,,,,,,
,,2019 - 2020,347,"1,002.00",2.89,6,4,0.67,,,,,,
,,2020 - 2021,418,"1,180.00",2.82,8,5,0.63,,,,,,
,,2021 - 2022,650,"1,643.00",2.53,14,11,0.79,,,,,,
,,2022 - 2023,"1,538.00","3,790.00",2.46,22,19,0.86,,,,,,
,17. Haveri,2013 - 2014,"96,977.00","1,92,919.00",1.99,821,"1,514.00",1.84,,,,,,
,,2014 - 2015,"1,05,249.00","2,11,727.00",2.01,244,281,1.15,,,,534,"1,012.00",1.9
,,2015 - 2016,"84,065.00","1,78,977.00",2.13,312,134,0.43,,,,47,100,2.13
,,2016 - 2017,"74,804.00","95,305.00",1.27,96,31,0.32,,,,,,
,,2017 - 2018,"69,947.00","2,09,112.00",2.99,240,181,0.75,,,,,,
,,2018 - 2019,"80,839.00","1,54,491.00",1.91,83,260,3.13,,,,,,
,,2019 - 2020,"54,770.00","75,596.00",1.38,,,,,,,,,
,,2020 - 2021,"39,410.00","79,052.00",2.01,,,,,,,,,
,,2021 - 2022,"25,572.00","60,771.00",2.38,,,,,,,,,
,,2022 - 2023,"29,104.00","22,770.00",0.78,438,394,0.9,,,,,,
,18. Kodagu,2020 - 2021,1,3,3,,,,,,,,,
,19. Kolar,2019 - 2020,,,,3,2,0.67,,,,,,
,,2020 - 2021,3,9,3,13,8,0.62,,,,,,
,,2021 - 2022,11,32,2.91,9,7,0.78,,,,,,
,,2022 - 2023,1,3,3,121,108,0.89,,,,,,
,20. Koppal,2013 - 2014,"4,447.00","12,077.00",2.72,"7,653.00","14,112.00",1.84,,,,,,
,,2014 - 2015,"12,128.00","36,529.00",3.01,"10,772.00","13,182.00",1.22,,,,,,
,,2015 - 2016,"17,294.00","11,113.00",0.64,"10,471.00","11,702.00",1.12,,,,,,
,,2016 - 2017,"1,598.00","2,411.00",1.51,"1,451.00",300,0.21,,,,,,
,,2017 - 2018,"3,364.00","10,301.00",3.06,"3,242.00","2,446.00",0.75,,,,,,
,,2018 - 2019,"6,574.00","12,453.00",1.89,536,258,0.48,,,,,,
,,2019 - 2020,"8,336.00","14,487.00",1.74,317,229,0.72,,,,,,
,,2020 - 2021,"11,933.00","26,814.00",2.25,768,456,0.59,,,,,,
,,2021 - 2022,"13,081.00","28,778.00",2.2,"4,185.00","3,348.00",0.8,,,,,,
,,2022 - 2023,"15,585.00","32,178.00",2.06,"1,861.00","1,675.00",0.9,,,,,,
,21. Mandya,2013 - 2014,4,12,3,,,,,,,,,
,,2014 - 2015,5,14,2.8,,,,,,,,,
,,2018 - 2019,4,8,2,,,,,,,,,
,,2019 - 2020,1,3,3,,,,,,,,,
,,2020 - 2021,2,6,3,,,,,,,,,
,,2021 - 2022,5,14,2.8,,,,,,,,,
,,2022 - 2023,2,6,3,1,1,1,,,,,,
,22. Mysore,2013 - 2014,"46,165.00","1,36,724.00",2.96,,,,,,,10,36,3.6
,,2014 - 2015,"48,174.00","85,874.00",1.78,,,,,,,,,
,,2015 - 2016,"49,160.00","65,105.00",1.32,,,,,,,,,
,,2016 - 2017,"39,754.00","25,991.00",0.65,,,,,,,,,
,,2017 - 2018,"48,027.00","1,13,791.00",2.37,,,,,,,,,
,,2018 - 2019,"43,453.00","54,633.00",1.26,,,,,,,,,
,,2019 - 2020,"36,379.00","45,536.00",1.25,,,,,,,,,
,,2020 - 2021,"29,774.00","50,090.00",1.68,5,3,0.6,,,,,,
,,2021 - 2022,"25,570.00","33,993.00",1.33,64,51,0.8,,,,,,
,,2022 - 2023,"33,357.00","40,814.00",1.22,72,64,0.89,,,,,,
,23. Raichur,2013 - 2014,"55,755.00","1,65,126.00",2.96,,,,,,,,,
,,2014 - 2015,"1,04,970.00","3,02,671.00",2.88,,,,,,,,,
,,2015 - 2016,"45,159.00","1,24,408.00",2.75,250,299,1.2,,,,,,
,,2016 - 2017,"47,054.00","1,75,117.00",3.72,,,,,,,,,
,,2017 - 2018,"85,850.00","2,18,757.00",2.55,,,,,,,,,
,,2018 - 2019,"1,23,580.00","2,18,909.00",1.77,,,,,,,,,
,,2019 - 2020,"1,49,434.00","3,62,406.00",2.43,"1,716.00","1,237.00",0.72,,,,,,
,,2020 - 2021,"1,69,434.00","5,28,235.00",3.12,"1,250.00",743,0.59,,,,,,
,,2021 - 2022,"1,69,518.00","4,27,785.00",2.52,646,517,0.8,,,,,,
,,2022 - 2023,"2,26,260.00","9,71,589.00",4.29,"4,897.00","4,407.00",0.9,,,,,,
,24. Ramanagara,2014 - 2015,1,3,3,,,,,,,,,
,,2015 - 2016,1,2,2,,,,,,,,,
,,2016 - 2017,1,2,2,,,,,,,,,
,,2018 - 2019,1,2,2,,,,,,,,,
,,2019 - 2020,3,9,3,2,1,0.5,,,,,,
,,2020 - 2021,2,6,3,,,,,,,,,
,,2021 - 2022,2,6,3,3,2,0.67,,,,,,
,,2022 - 2023,1,3,3,,,,,,,,,
,25. Shimoga,2013 - 2014,738,"1,905.00",2.58,,,,,,,1,4,4
,,2014 - 2015,849,"2,111.00",2.49,,,,,,,,,
,,2015 - 2016,544,"2,629.00",4.83,,,,,,,,,
,,2016 - 2017,503,"1,054.00",2.1,,,,,,,,,
,,2017 - 2018,"1,253.00","4,383.00",3.5,,,,,,,,,
,,2018 - 2019,"1,494.00","2,930.00",1.96,,,,,,,,,
,,2019 - 2020,484,"1,398.00",2.89,3,2,0.67,,,,,,
,,2020 - 2021,311,895,2.88,6,4,0.67,,,,,,
,,2021 - 2022,263,776,2.95,,,,,,,,,
,,2022 - 2023,268,873,3.26,,,,,,,,,
,26. Tumkur,2013 - 2014,753,"1,675.00",2.22,2,4,2,,,,7,25,3.57
,,2014 - 2015,"1,742.00","4,507.00",2.59,2,3,1.5,,,,9,17,1.89
,,2015 - 2016,"1,526.00","2,746.00",1.8,,,,,,,8,17,2.13
,,2016 - 2017,"1,101.00","14,267.00",12.96,2,1,0.5,,,,,,
,,2017 - 2018,736,391,0.53,,,,,,,,,
,,2018 - 2019,"1,512.00","1,817.00",1.2,,,,,,,,,
,,2019 - 2020,"2,151.00","4,159.00",1.93,,,,,,,,,
,,2020 - 2021,"3,065.00","6,905.00",2.25,,,,,,,,,
,,2021 - 2022,"4,430.00","6,045.00",1.36,,,,,,,,,
,,2022 - 2023,"7,332.00","12,034.00",1.64,54,49,0.91,,,,,,
,27. Uttar kannad,2013 - 2014,"1,351.00","2,763.00",2.05,,,,,,,,,
,,2014 - 2015,"1,412.00","2,612.00",1.85,,,,,,,,,
,,2015 - 2016,"1,268.00","2,359.00",1.86,,,,,,,,,
,,2016 - 2017,"1,110.00","3,387.00",3.05,,,,,,,,,
,,2017 - 2018,"1,210.00","4,354.00",3.6,,,,,,,,,
,,2018 - 2019,956,"2,388.00",2.5,,,,,,,,,
,,2019 - 2020,511,"1,356.00",2.65,4,3,0.75,,,,,,
,,2020 - 2021,395,981,2.48,,,,,,,,,
,,2021 - 2022,243,671,2.76,,,,,,,,,
,,2022 - 2023,367,681,1.86,,,,,,,,,
,28. Vijayanagar,2022 - 2023,"4,243.00","9,036.00",2.13,"2,328.00","2,096.00",0.9,,,,,,
,29. Yadgir,2013 - 2014,"80,504.00","3,81,928.00",4.74,,,,,,,,,
,,2014 - 2015,"1,03,866.00","3,62,752.00",3.49,,,,,,,,,
,,2015 - 2016,"1,01,418.00","1,97,787.00",1.95,,,,,,,,,
,,2016 - 2017,"43,011.00","1,03,589.00",2.41,,,,,,,,,
,,2017 - 2018,"61,479.00","3,99,542.00",6.5,,,,,,,,,
,,2018 - 2019,"1,45,784.00","2,56,612.00",1.76,,,,,,,,,
,,2019 - 2020,"1,54,240.00","7,56,742.00",4.91,"1,187.00",856,0.72,,,,,,
,,2020 - 2021,"1,60,440.00","7,02,161.00",4.38,"4,019.00","2,388.00",0.59,,,,,,
,,2021 - 2022,"1,62,796.00","7,12,470.00",4.38,"1,326.00","1,061.00",0.8,,,,,,
,,2022 - 2023,"2,16,034.00","8,48,887.00",3.93,625,563,0.9,,,,,,
