State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,,,,,,,24,"1,428.00",59.5,,,,,,
,,2019 - 2020,,,,,,,25,"2,111.00",84.44,,,,,,
,,2020 - 2021,,,,,,,30,"1,295.00",43.17,,,,,,
,,2021 - 2022,,,,,,,30,"1,453.00",48.43,,,,,,
,,2022 - 2023,,,,,,,276,"29,544.00",107.04,,,,,,
,19. Munger,2013 - 2014,,,,,,,201,"9,780.00",48.66,,,,,,
,,2014 - 2015,,,,,,,91,"5,472.00",60.13,,,,,,
,,2015 - 2016,,,,,,,93,"5,723.00",61.54,,,,,,
,,2016 - 2017,,,,,,,81,"4,637.00",57.25,,,,,,
,,2017 - 2018,,,,,,,91,"5,169.00",56.8,,,,,,
,,2018 - 2019,,,,,,,47,"2,866.00",60.98,,,,,,
,,2019 - 2020,,,,,,,48,"3,842.00",80.04,,,,,,
,,2020 - 2021,,,,,,,47,"3,030.00",64.47,,,,,,
,,2021 - 2022,,,,,,,43,"3,681.00",85.6,,,,,,
,,2022 - 2023,,,,,,,40,"3,374.00",84.35,,,,,,
,20. Muzaffarpur,2013 - 2014,,,,,,,"4,462.00","1,71,653.00",38.47,,,,,,
,,2014 - 2015,,,,,,,"3,004.00","1,51,408.00",50.4,,,,,,
,,2015 - 2016,,,,,,,"2,228.00","76,964.00",34.54,,,,,,
,,2016 - 2017,,,,,,,"1,267.00","46,311.00",36.55,,,,,,
,,2017 - 2018,,,,,,,"1,268.00","44,786.00",35.32,,,,,,
,,2018 - 2019,,,,,,,"1,181.00","40,029.00",33.89,,,,,,
,,2019 - 2020,,,,,,,"1,106.00","34,721.00",31.39,,,,,,
,,2020 - 2021,,,,,,,"1,101.00","37,569.00",34.12,,,,,,
,,2021 - 2022,,,,,,,"1,100.00","39,591.00",35.99,,,,,,
,,2022 - 2023,,,,,,,"1,113.00","38,806.00",34.87,,,,,,
,21. Nalanda,2013 - 2014,,,,,,,162,"8,557.00",52.82,,,,,,
,,2014 - 2015,,,,,,,133,"8,718.00",65.55,,,,,,
,,2015 - 2016,,,,,,,184,"8,193.00",44.53,,,,,,
,,2016 - 2017,,,,,,,153,"8,297.00",54.23,,,,,,
,,2017 - 2018,,,,,,,117,"7,427.00",63.48,,,,,,
,,2018 - 2019,,,,,,,94,"5,545.00",58.99,,,,,,
,,2020 - 2021,,,,,,,30,"1,641.00",54.7,,,,,,
,,2021 - 2022,,,,,,,9,490,54.44,,,,,,
,,2022 - 2023,,,,,,,8,589,73.63,,,,,,
,22. Nawada,2013 - 2014,,,,,,,58,"1,435.00",24.74,,,,,,
,,2014 - 2015,,,,,,,23,"2,605.00",113.26,,,,,,
,,2015 - 2016,,,,,,,54,"5,966.00",110.48,,,,,,
,,2016 - 2017,,,,,,,106,"10,323.00",97.39,,,,,,
,,2017 - 2018,,,,,,,75,"3,673.00",48.97,,,,,,
,,2018 - 2019,,,,,,,77,"6,029.00",78.3,,,,,,
,,2019 - 2020,,,,,,,82,"4,986.00",60.8,,,,,,
,,2020 - 2021,,,,,,,76,"4,156.00",54.68,,,,,,
,,2021 - 2022,,,,,,,76,"4,252.00",55.95,,,,,,
,23. Pashchim champaran,2013 - 2014,,,,,,,"1,49,977.00","72,88,132.00",48.59,,,,,,
,,2014 - 2015,,,,,,,"1,49,624.00","96,14,539.00",64.26,,,,,,
,,2015 - 2016,,,,,,,"1,44,093.00","71,19,059.00",49.41,,,,,,
,,2016 - 2017,,,,,,,"1,44,153.00","75,16,282.00",52.14,,,,,,
,,2017 - 2018,,,,,,,"1,44,026.00","86,93,553.00",60.36,,,,,,
,,2018 - 2019,,,,,,,"1,43,958.00","1,57,79,524.00",109.61,,,,,,
,,2019 - 2020,,,,,,,"1,43,755.00","88,67,096.00",61.68,,,,,,
,,2020 - 2021,,,,,,,"1,43,790.00","78,94,646.00",54.9,,,,,,
,,2021 - 2022,,,,,,,"1,43,778.00","85,04,181.00",59.15,,,,,,
,,2022 - 2023,,,,,,,"1,45,645.00","97,43,068.00",66.9,,,,,,
,24. Patna,2013 - 2014,,,,,,,128,"7,252.00",56.66,,,,,,
,,2014 - 2015,,,,,,,112,"6,541.00",58.4,,,,,,
,,2015 - 2016,,,,,,,115,"5,840.00",50.78,,,,,,
,,2016 - 2017,,,,,,,118,"6,696.00",56.75,,,,,,
,,2017 - 2018,,,,,,,111,"6,736.00",60.68,,,,,,
,,2018 - 2019,,,,,,,55,"3,143.00",57.15,,,,,,
,,2019 - 2020,,,,,,,30,"1,834.00",61.13,,,,,,
,,2020 - 2021,,,,,,,38,"2,075.00",54.61,,,,,,
,,2021 - 2022,,,,,,,36,"1,959.00",54.42,,,,,,
