State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,"9,062.00","11,137.00",1.23,,,,,,,,,
,,2016 - 2017,,,,"9,047.00","11,158.00",1.23,,,,,,,,,
,,2017 - 2018,,,,"9,095.00","11,824.66",1.3,,,,,,,,,
,,2018 - 2019,,,,"9,119.00","11,903.00",1.31,,,,,,,,,
,,2019 - 2020,,,,"6,393.00","8,483.00",1.33,,,,,,,,,
,,2020 - 2021,,,,"6,404.00","8,574.00",1.34,,,,,,,,,
,,2021 - 2022,,,,"6,504.00","8,737.33",1.34,,,,,,,,,
,,2022 - 2023,,,,"6,532.00","8,808.60",1.35,,,,,,,,,
,5. East siang,2013 - 2014,,,,"16,770.00","27,044.00",1.61,,,,,,,,,
,,2014 - 2015,,,,"16,120.00","27,463.00",1.7,,,,,,,,,
,,2015 - 2016,,,,"11,378.00","19,388.00",1.7,,,,,,,,,
,,2016 - 2017,,,,"11,743.00","21,388.00",1.82,,,,,,,,,
,,2017 - 2018,,,,"11,791.00","22,816.66",1.94,,,,,,,,,
,,2018 - 2019,,,,"14,046.00","25,650.60",1.83,,,,,,,,,
,,2019 - 2020,,,,"14,060.00","25,866.00",1.84,,,,,,,,,
,,2020 - 2021,,,,"14,071.00","25,912.00",1.84,,,,,,,,,
,,2021 - 2022,,,,"14,441.00","26,764.00",1.85,,,,,,,,,
,,2022 - 2023,,,,"15,132.00","28,076.60",1.86,,,,,,,,,
,6. Kamle,2018 - 2019,,,,"3,581.00","7,845.00",2.19,,,,,,,,,
,,2019 - 2020,,,,"3,595.00","8,061.00",2.24,,,,,,,,,
,,2020 - 2021,,,,"3,606.00","8,152.00",2.26,,,,,,,,,
,,2021 - 2022,,,,"3,656.00","8,165.33",2.23,,,,,,,,,
,,2022 - 2023,,,,"3,658.00","7,074.00",1.93,,,,,,,,,
,7. Kra daadi,2015 - 2016,,,,181,"1,299.00",7.18,,,,,,,,,
,,2016 - 2017,,,,500,678.66,1.36,,,,,,,,,
,,2017 - 2018,,,,570,878.66,1.54,,,,,,,,,
,,2018 - 2019,,,,594,957.3,1.61,,,,,,,,,
