State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,"11,356.00","46,903.00",4.13,,,,,,,"62,170.00","2,59,644.00",4.18,"88,153.00","3,82,922.00",4.34
,,2020 - 2021,"25,295.00","1,08,023.00",4.27,,,,,,,"92,093.00","4,07,534.00",4.43,"53,220.00","1,98,721.00",3.73
,,2021 - 2022,"37,002.00","1,42,808.00",3.86,,,,,,,"63,568.00","2,66,233.00",4.19,"83,852.00","2,66,495.00",3.18
,,2022 - 2023,"38,590.00","1,50,778.00",3.91,,,,,,,"60,274.00","2,54,210.00",4.22,"71,829.00","2,41,070.00",3.36
,36. Vellore,2013 - 2014,,,,"39,366.00","1,92,496.00",4.89,,,,,,,,,
,,2014 - 2015,,,,"36,583.00","1,94,725.00",5.32,,,,,,,,,
,,2015 - 2016,,,,"51,771.00","2,02,224.00",3.91,,,,,,,,,
,,2016 - 2017,,,,"44,570.00","1,87,013.00",4.2,,,,,,,,,
,,2017 - 2018,"12,552.00","53,120.00",4.23,,,,,,,"23,264.00","1,14,436.00",4.92,"19,122.00","87,617.00",4.58
,,2018 - 2019,"12,124.00","55,933.00",4.61,,,,,,,"15,517.00","74,879.00",4.83,"12,996.00","55,914.00",4.3
,,2019 - 2020,"4,971.00","22,536.00",4.53,,,,,,,"26,397.00","1,22,357.00",4.64,"14,201.00","59,721.00",4.21
,,2020 - 2021,"1,311.00","5,713.00",4.36,,,,,,,"4,953.00","22,420.00",4.53,"1,957.00","7,665.00",3.92
,,2021 - 2022,"2,179.00","8,899.00",4.08,,,,,,,"5,260.00","21,005.00",3.99,"2,238.00","7,415.00",3.31
,,2022 - 2023,"2,461.00","9,472.00",3.85,,,,,,,"4,657.00","18,511.00",3.97,"2,640.00","8,670.00",3.28
,37. Villupuram,2013 - 2014,,,,"1,70,443.00","7,96,608.00",4.67,,,,,,,,,
,,2014 - 2015,,,,"1,71,478.00","8,32,585.00",4.86,,,,,,,,,
,,2015 - 2016,,,,"1,82,303.00","7,73,313.00",4.24,,,,,,,,,
,,2016 - 2017,,,,"95,560.00","3,54,198.00",3.71,,,,,,,,,
,,2017 - 2018,"10,239.00","47,038.00",4.59,,,,,,,"42,924.00","1,74,271.00",4.06,"1,10,469.00","4,81,976.00",4.36
,,2018 - 2019,"12,333.00","52,060.00",4.22,,,,,,,"37,831.00","1,72,261.00",4.55,"60,357.00","2,71,852.00",4.5
,,2019 - 2020,"7,009.00","31,587.00",4.51,,,,,,,"43,425.00","1,82,245.00",4.2,"1,12,859.00","4,68,051.00",4.15
,,2020 - 2021,"12,701.00","52,987.00",4.17,,,,,,,"40,134.00","1,75,731.00",4.38,"48,819.00","1,74,672.00",3.58
,,2021 - 2022,"14,051.00","56,508.00",4.02,,,,,,,"22,776.00","84,122.00",3.69,"80,028.00","2,82,139.00",3.53
,,2022 - 2023,"10,888.00","47,204.00",4.34,,,,,,,"20,813.00","65,408.00",3.14,"70,876.00","2,71,621.00",3.83
,38. Virudhunagar,2013 - 2014,,,,"16,470.00","68,146.00",4.14,,,,,,,,,
,,2014 - 2015,,,,"19,610.00","81,406.00",4.15,,,,,,,,,
,,2015 - 2016,,,,"28,607.00","1,00,607.00",3.52,,,,,,,,,
,,2016 - 2017,,,,"13,826.00","15,883.00",1.15,,,,,,,,,
,,2017 - 2018,1,4,4,,,,,,,"1,839.00","6,777.00",3.69,"16,703.00","63,689.00",3.81
,,2018 - 2019,135,580,4.3,,,,,,,"2,336.00","9,667.00",4.14,"17,767.00","59,716.00",3.36
,,2019 - 2020,151,618,4.09,,,,,,,"4,586.00","17,595.00",3.84,"19,755.00","64,568.00",3.27
,,2020 - 2021,210,917,4.37,,,,,,,"6,685.00","23,957.00",3.58,"20,605.00","70,833.00",3.44
,,2021 - 2022,903,"3,687.00",4.08,,,,,,,"5,383.00","12,980.00",2.41,"22,679.00","70,626.00",3.11
,,2022 - 2023,829,"3,188.00",3.85,,,,,,,"5,293.00","18,890.00",3.57,"22,152.00","71,913.00",3.25
31. Telangana,1. Adilabad,2013 - 2014,,,,"65,502.00","1,75,303.00",2.68,"25,191.00","73,608.00",2.92,,,,,,
,,2014 - 2015,,,,"36,084.00","81,003.00",2.24,"13,996.00","45,123.00",3.22,,,,,,
,,2015 - 2016,,,,"42,575.00","1,08,571.00",2.55,"14,929.00","43,025.00",2.88,,,,,,
,,2016 - 2017,,,,"1,230.00","3,174.00",2.58,29,110,3.79,,,,,,
,,2017 - 2018,,,,556,"1,334.00",2.4,15,54,3.6,,,,,,
,,2018 - 2019,,,,385,"1,222.00",3.17,42,143,3.4,,,,,,
,,2019 - 2020,,,,508,"1,846.00",3.63,197,733,3.72,,,,,,
,,2020 - 2021,,,,884,"2,607.00",2.95,172,668,3.88,,,,,,
,,2021 - 2022,,,,804,"2,650.00",3.3,28,100,3.57,,,,,,
,,2022 - 2023,,,,671,"2,347.00",3.5,197,679,3.45,,,,,,
,2. Bhadradri,2016 - 2017,,,,"45,862.00","1,60,803.00",3.51,"7,531.00","30,960.00",4.11,,,,,,
,,2017 - 2018,,,,"46,629.00","1,43,736.00",3.08,"7,601.00","28,648.00",3.77,,,,,,
,,2018 - 2019,,,,"46,593.00","1,53,058.00",3.28,"7,064.00","28,722.00",4.07,,,,,,
,,2019 - 2020,,,,"57,972.00","2,12,583.00",3.67,"22,711.00","74,810.00",3.29,,,,,,
,,2020 - 2021,,,,"63,935.00","2,02,065.00",3.16,"27,375.00","42,158.00",1.54,,,,,,
,,2021 - 2022,,,,"70,799.00","2,25,479.00",3.18,"8,484.00","26,818.00",3.16,,,,,,
,,2022 - 2023,,,,"66,484.00","2,30,699.00",3.47,"25,261.00","90,258.00",3.57,,,,,,
,3. Jagitial,2016 - 2017,,,,"39,759.00","1,50,647.00",3.79,"59,092.00","2,21,122.00",3.74,,,,,,
,,2017 - 2018,,,,"43,602.00","1,18,554.00",2.72,"48,935.00","1,71,273.00",3.5,,,,,,
,,2018 - 2019,,,,"58,567.00","2,48,968.00",4.25,"48,087.00","1,81,769.00",3.78,,,,,,
,,2019 - 2020,,,,"92,491.00","4,12,140.00",4.46,"1,02,546.00","3,91,623.00",3.82,,,,,,
,,2020 - 2021,,,,"1,14,178.00","3,61,696.00",3.17,"1,20,376.00","5,17,256.00",4.3,,,,,,
,,2021 - 2022,,,,"1,18,515.00","4,18,121.00",3.53,"74,742.00","2,85,664.00",3.82,,,,,,
,,2022 - 2023,,,,"1,22,197.00","4,41,253.00",3.61,"1,20,927.00","4,37,272.00",3.62,,,,,,
,4. Jangoan,2016 - 2017,,,,"20,004.00","68,734.00",3.44,"34,336.00","1,23,884.00",3.61,,,,,,
,,2017 - 2018,,,,"26,245.00","65,901.00",2.51,"25,116.00","88,634.00",3.53,,,,,,
,,2018 - 2019,,,,"22,506.00","69,814.00",3.1,"18,949.00","53,038.00",2.8,,,,,,
,,2019 - 2020,,,,"30,645.00","97,972.00",3.2,"46,799.00","1,65,949.00",3.55,,,,,,
,,2020 - 2021,,,,"60,403.00","1,68,957.00",2.8,"64,690.00","2,45,369.00",3.79,,,,,,
,,2021 - 2022,,,,"77,381.00","2,48,238.00",3.21,"57,057.00","1,81,898.00",3.19,,,,,,
,,2022 - 2023,,,,"86,366.00","2,50,720.00",2.9,"78,000.00","1,68,558.00",2.16,,,,,,
,5. Jayashankar,2016 - 2017,,,,"62,937.00","2,13,267.00",3.39,"24,331.00","88,395.00",3.63,,,,,,
,,2017 - 2018,,,,"59,970.00","1,48,281.00",2.47,"24,906.00","87,096.00",3.5,,,,,,
,,2018 - 2019,,,,"27,081.00","98,737.00",3.65,"11,331.00","37,664.00",3.32,,,,,,
,,2019 - 2020,,,,"33,296.00","1,06,814.00",3.21,"25,912.00","93,024.00",3.59,,,,,,
,,2020 - 2021,,,,"40,704.00","1,10,448.00",2.71,"32,288.00","1,23,502.00",3.83,,,,,,
,,2021 - 2022,,,,"43,300.00","1,27,259.00",2.94,"19,781.00","57,128.00",2.89,,,,,,
,,2022 - 2023,,,,"44,401.00","1,44,436.00",3.25,"34,104.00","1,05,484.00",3.09,,,,,,
,6. Jogulamba,2016 - 2017,,,,"15,493.00","39,019.00",2.52,"6,546.00","17,393.00",2.66,,,,,,
,,2017 - 2018,,,,"17,677.00","40,241.00",2.28,"8,373.00","21,301.00",2.54,,,,,,
,,2018 - 2019,,,,"21,127.00","54,233.00",2.57,"6,277.00","17,645.00",2.81,,,,,,
,,2019 - 2020,,,,"27,604.00","87,891.00",3.18,"17,810.00","56,458.00",3.17,,,,,,
,,2020 - 2021,,,,"32,754.00","93,483.00",2.85,"23,551.00","73,503.00",3.12,,,,,,
,,2021 - 2022,,,,"38,920.00","98,893.00",2.54,"13,904.00","41,642.00",2.99,,,,,,
,,2022 - 2023,,,,"35,692.00","1,21,353.00",3.4,"28,257.00","89,716.00",3.18,,,,,,
,7. Kamareddy,2016 - 2017,,,,"35,357.00","1,39,448.00",3.94,"44,593.00","1,72,486.00",3.87,,,,,,
,,2017 - 2018,,,,"54,599.00","1,65,648.00",3.03,"39,332.00","1,49,540.00",3.8,,,,,,
,,2018 - 2019,,,,"54,663.00","2,32,427.00",4.25,"23,451.00","88,082.00",3.76,,,,,,
,,2019 - 2020,,,,"84,732.00","3,82,141.00",4.51,"74,463.00","3,09,096.00",4.15,,,,,,
,,2020 - 2021,,,,"1,00,303.00","3,30,633.00",3.3,"99,340.00","4,30,341.00",4.33,,,,,,
,,2021 - 2022,,,,"1,13,744.00","4,32,227.00",3.8,"62,328.00","2,69,444.00",4.32,,,,,,
,,2022 - 2023,,,,"1,22,025.00","5,23,487.00",4.29,"1,04,991.00","3,72,613.00",3.55,,,,,,
,8. Karimnagar,2013 - 2014,,,,"2,09,454.00","7,32,042.00",3.5,"2,08,458.00","7,68,793.00",3.69,,,,,,
,,2014 - 2015,,,,"1,79,282.00","6,32,136.00",3.53,"99,151.00","3,58,827.00",3.62,,,,,,
,,2015 - 2016,,,,"1,16,345.00","3,81,263.00",3.28,"54,053.00","1,72,699.00",3.19,,,,,,
,,2016 - 2017,,,,"33,075.00","1,25,321.00",3.79,"61,906.00","2,62,172.00",4.24,,,,,,
,,2017 - 2018,,,,"46,710.00","1,35,833.00",2.91,"55,178.00","2,32,575.00",4.21,,,,,,
,,2018 - 2019,,,,"54,612.00","2,07,034.00",3.79,"48,707.00","1,79,437.00",3.68,,,,,,
,,2019 - 2020,,,,"79,406.00","2,67,201.00",3.36,"89,721.00","3,50,809.00",3.91,,,,,,
,,2020 - 2021,,,,"1,02,368.00","3,08,096.00",3.01,"1,07,052.00","4,63,214.00",4.33,,,,,,
,,2021 - 2022,,,,"1,10,458.00","3,44,739.00",3.12,"85,972.00","3,21,879.00",3.74,,,,,,
,,2022 - 2023,,,,"1,10,266.00","3,59,357.00",3.26,"1,09,804.00","3,46,432.00",3.16,,,,,,
,9. Khammam,2013 - 2014,,,,"1,48,142.00","4,32,575.00",2.92,"43,642.00","1,42,709.00",3.27,,,,,,
,,2014 - 2015,,,,"1,10,439.00","3,28,435.00",2.97,"35,269.00","1,27,744.00",3.62,,,,,,
,,2015 - 2016,,,,"1,09,579.00","3,37,054.00",3.08,"12,143.00","32,288.00",2.66,,,,,,
,,2016 - 2017,,,,"37,999.00","1,35,788.00",3.57,"30,735.00","1,24,661.00",4.06,,,,,,
,,2017 - 2018,,,,"56,206.00","1,53,450.00",2.73,"51,130.00","1,92,913.00",3.77,,,,,,
,,2018 - 2019,,,,"82,437.00","2,95,619.00",3.59,"31,843.00","99,255.00",3.12,,,,,,
,,2019 - 2020,,,,"92,196.00","3,35,225.00",3.64,"82,093.00","3,18,849.00",3.88,,,,,,
,,2020 - 2021,,,,"1,13,361.00","3,45,938.00",3.05,"91,222.00","3,29,585.00",3.61,,,,,,
,,2021 - 2022,,,,"1,19,611.00","3,47,590.00",2.91,"37,168.00","1,13,177.00",3.05,,,,,,
,,2022 - 2023,,,,"1,17,343.00","4,11,639.00",3.51,"86,958.00","2,99,309.00",3.44,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,,,,"11,980.00","32,619.00",2.72,"2,836.00","7,297.00",2.57,,,,,,
,,2017 - 2018,,,,"7,311.00","13,071.00",1.79,"2,263.00","6,158.00",2.72,,,,,,
,,2018 - 2019,,,,"11,774.00","24,619.00",2.09,"2,737.00","6,424.00",2.35,,,,,,
,,2019 - 2020,,,,"24,201.00","67,787.00",2.8,"5,026.00","15,063.00",3,,,,,,
,,2020 - 2021,,,,"22,336.00","61,431.00",2.75,"6,624.00","23,939.00",3.61,,,,,,
,,2021 - 2022,,,,"21,936.00","53,963.00",2.46,"2,198.00","6,049.00",2.75,,,,,,
,,2022 - 2023,,,,"23,794.00","66,528.00",2.8,"7,313.00","21,515.00",2.94,,,,,,
,11. Mahabubabad,2016 - 2017,,,,"29,989.00","1,02,569.00",3.42,"17,792.00","56,952.00",3.2,,,,,,
,,2017 - 2018,,,,"36,342.00","85,729.00",2.36,"16,660.00","54,895.00",3.3,,,,,,
,,2018 - 2019,,,,"39,461.00","1,23,355.00",3.13,"14,264.00","49,853.00",3.5,,,,,,
,,2019 - 2020,,,,"46,834.00","1,57,409.00",3.36,"46,056.00","1,55,301.00",3.37,,,,,,
,,2020 - 2021,,,,"63,742.00","1,75,312.00",2.75,"64,077.00","2,27,858.00",3.56,,,,,,
,,2021 - 2022,,,,"86,666.00","2,43,531.00",2.81,"36,124.00","1,13,610.00",3.15,,,,,,
,,2022 - 2023,,,,"85,844.00","2,89,981.00",3.38,"58,373.00","1,70,683.00",2.92,,,,,,
,12. Mahbubnagar,2013 - 2014,,,,"1,03,744.00","3,01,561.00",2.91,"64,886.00","1,77,139.00",2.73,,,,,,
,,2014 - 2015,,,,"1,11,302.00","2,82,357.00",2.54,"49,468.00","1,35,740.00",2.74,,,,,,
,,2015 - 2016,,,,"66,075.00","1,49,451.00",2.26,"30,203.00","65,571.00",2.17,,,,,,
,,2016 - 2017,,,,"32,691.00","92,029.00",2.82,"19,638.00","50,136.00",2.55,,,,,,
,,2017 - 2018,,,,"31,129.00","60,217.00",1.93,"27,990.00","82,682.00",2.95,,,,,,
,,2018 - 2019,,,,"11,792.00","28,749.00",2.44,"6,839.00","17,727.00",2.59,,,,,,
,,2019 - 2020,,,,"13,972.00","48,385.00",3.46,"17,109.00","56,682.00",3.31,,,,,,
,,2020 - 2021,,,,"46,227.00","1,39,363.00",3.01,"48,979.00","1,78,871.00",3.65,,,,,,
,,2021 - 2022,,,,"68,867.00","2,31,600.00",3.36,"29,345.00","1,02,737.00",3.5,,,,,,
,,2022 - 2023,,,,"76,436.00","2,57,360.00",3.37,"59,454.00","2,09,694.00",3.53,,,,,,
,13. Mancherial,2016 - 2017,,,,"27,651.00","85,954.00",3.11,"14,572.00","53,989.00",3.7,,,,,,
,,2017 - 2018,,,,"29,897.00","56,949.00",1.9,"17,437.00","64,622.00",3.71,,,,,,
,,2018 - 2019,,,,"39,549.00","1,27,625.00",3.23,"20,738.00","75,860.00",3.66,,,,,,
,,2019 - 2020,,,,"65,137.00","1,74,176.00",2.67,"38,616.00","1,64,002.00",4.25,,,,,,
,,2020 - 2021,,,,"66,224.00","1,60,706.00",2.43,"44,712.00","1,74,690.00",3.91,,,,,,
,,2021 - 2022,,,,"65,811.00","1,69,068.00",2.57,"25,313.00","77,002.00",3.04,,,,,,
,,2022 - 2023,,,,"63,784.00","1,94,350.00",3.05,"41,820.00","1,36,291.00",3.26,,,,,,
,14. Medak,2013 - 2014,,,,"1,08,639.00","3,93,985.00",3.63,"62,331.00","2,30,500.00",3.7,,,,,,
,,2014 - 2015,,,,"73,983.00","2,34,342.00",3.17,"36,910.00","1,28,742.00",3.49,,,,,,
,,2015 - 2016,,,,"61,512.00","1,74,884.00",2.84,"22,659.00","64,895.00",2.86,,,,,,
,,2016 - 2017,,,,"31,715.00","97,175.00",3.06,"45,504.00","1,87,795.00",4.13,,,,,,
,,2017 - 2018,,,,"45,317.00","1,30,422.00",2.88,"32,224.00","1,10,915.00",3.44,,,,,,
,,2018 - 2019,,,,"31,269.00","1,08,722.00",3.48,"11,881.00","38,233.00",3.22,,,,,,
,,2019 - 2020,,,,"48,432.00","2,12,181.00",4.38,"31,649.00","1,18,399.00",3.74,,,,,,
,,2020 - 2021,,,,"78,867.00","2,02,291.00",2.56,"69,279.00","3,46,118.00",5,,,,,,
,,2021 - 2022,,,,"1,03,929.00","3,89,526.00",3.75,"57,412.00","2,15,525.00",3.75,,,,,,
,,2022 - 2023,,,,"1,19,309.00","4,35,359.00",3.65,"1,05,357.00","3,50,417.00",3.33,,,,,,
,15. Medchal,2016 - 2017,,,,"1,907.00","5,015.00",2.63,"4,522.00","17,577.00",3.89,,,,,,
,,2017 - 2018,,,,"4,844.00","16,005.00",3.3,"4,552.00","17,898.00",3.93,,,,,,
,,2018 - 2019,,,,"4,032.00","16,757.00",4.16,"2,702.00","9,084.00",3.36,,,,,,
,,2019 - 2020,,,,"5,139.00","20,191.00",3.93,"3,877.00","13,360.00",3.45,,,,,,
,,2020 - 2021,,,,"6,475.00","18,700.00",2.89,"5,501.00","21,217.00",3.86,,,,,,
,,2021 - 2022,,,,"7,457.00","27,255.00",3.65,"1,996.00","6,689.00",3.35,,,,,,
,,2022 - 2023,,,,"7,384.00","29,514.00",4,"5,644.00","20,364.00",3.61,,,,,,
,16. Mulugu,2018 - 2019,,,,"35,880.00","1,30,818.00",3.65,"13,416.00","44,595.00",3.32,,,,,,
,,2019 - 2020,,,,"38,066.00","1,30,186.00",3.42,"16,336.00","62,502.00",3.83,,,,,,
,,2020 - 2021,,,,"40,794.00","1,13,410.00",2.78,"21,605.00","75,661.00",3.5,,,,,,
,,2021 - 2022,,,,"44,793.00","1,34,065.00",2.99,"6,724.00","20,522.00",3.05,,,,,,
,,2022 - 2023,,,,"40,505.00","1,22,285.00",3.02,"19,777.00","66,767.00",3.38,,,,,,
,17. Nagarkurnool,2016 - 2017,,,,"7,727.00","21,549.00",2.79,"11,482.00","26,776.00",2.33,,,,,,
,,2017 - 2018,,,,"8,272.00","18,074.00",2.18,"17,634.00","55,917.00",3.17,,,,,,
,,2018 - 2019,,,,"15,792.00","37,538.00",2.38,"16,758.00","44,560.00",2.66,,,,,,
,,2019 - 2020,,,,"24,324.00","80,975.00",3.33,"36,066.00","1,24,752.00",3.46,,,,,,
,,2020 - 2021,,,,"39,868.00","1,06,779.00",2.68,"59,787.00","2,01,064.00",3.36,,,,,,
,,2021 - 2022,,,,"51,528.00","1,59,737.00",3.1,"23,507.00","68,382.00",2.91,,,,,,
,,2022 - 2023,,,,"49,811.00","1,64,476.00",3.3,"62,949.00","2,19,251.00",3.48,,,,,,
,18. Nalgonda,2013 - 2014,,,,"1,92,185.00","5,46,190.00",2.84,"2,01,558.00","6,59,095.00",3.27,,,,,,
,,2014 - 2015,,,,"1,77,458.00","5,49,765.00",3.1,"1,45,917.00","4,91,594.00",3.37,,,,,,
,,2015 - 2016,,,,"1,27,904.00","3,90,235.00",3.05,"84,826.00","2,30,218.00",2.71,,,,,,
,,2016 - 2017,,,,"56,261.00","1,89,543.00",3.37,"81,289.00","2,85,324.00",3.51,,,,,,
,,2017 - 2018,,,,"63,661.00","1,70,548.00",2.68,"97,074.00","3,07,336.00",3.17,,,,,,
,,2018 - 2019,,,,"93,564.00","2,90,703.00",3.11,"86,191.00","2,83,655.00",3.29,,,,,,
,,2019 - 2020,,,,"1,29,052.00","4,45,100.00",3.45,"1,48,819.00","5,12,086.00",3.44,,,,,,
,,2020 - 2021,,,,"1,59,756.00","5,35,295.00",3.35,"1,86,197.00","6,85,019.00",3.68,,,,,,
,,2021 - 2022,,,,"1,86,997.00","6,43,083.00",3.44,"1,75,239.00","5,66,372.00",3.23,,,,,,
,,2022 - 2023,,,,"2,04,092.00","6,84,116.00",3.35,"2,25,262.00","8,37,749.00",3.72,,,,,,
,19. Narayanapet,2018 - 2019,,,,"19,629.00","47,856.00",2.44,"10,892.00","28,232.00",2.59,,,,,,
,,2019 - 2020,,,,"33,896.00","1,07,416.00",3.17,"26,102.00","87,885.00",3.37,,,,,,
,,2020 - 2021,,,,"39,674.00","1,25,579.00",3.17,"41,124.00","1,35,586.00",3.3,,,,,,
,,2021 - 2022,,,,"54,320.00","1,73,009.00",3.18,"24,776.00","86,047.00",3.47,,,,,,
,,2022 - 2023,,,,"64,317.00","2,15,398.00",3.35,"56,603.00","1,90,016.00",3.36,,,,,,
,20. Nirmal,2016 - 2017,,,,"20,477.00","63,822.00",3.12,"17,116.00","51,776.00",3.03,,,,,,
,,2017 - 2018,,,,"20,313.00","48,406.00",2.38,"15,877.00","59,285.00",3.73,,,,,,
,,2018 - 2019,,,,"26,224.00","84,913.00",3.24,"17,119.00","59,043.00",3.45,,,,,,
,,2019 - 2020,,,,"38,778.00","1,41,501.00",3.65,"40,684.00","1,57,488.00",3.87,,,,,,
,,2020 - 2021,,,,"43,066.00","1,22,913.00",2.85,"38,411.00","1,55,833.00",4.06,,,,,,
,,2021 - 2022,,,,"47,691.00","1,52,373.00",3.2,"23,247.00","84,340.00",3.63,,,,,,
,,2022 - 2023,,,,"50,933.00","1,65,023.00",3.24,"43,565.00","1,48,644.00",3.41,,,,,,
,21. Nizamabad,2013 - 2014,,,,"1,52,303.00","6,22,200.00",4.09,"1,08,509.00","4,21,992.00",3.89,,,,,,
,,2014 - 2015,,,,"1,12,427.00","4,04,400.00",3.6,"56,845.00","2,16,125.00",3.8,,,,,,
,,2015 - 2016,,,,"80,451.00","2,08,770.00",2.59,"17,578.00","54,017.00",3.07,,,,,,
,,2016 - 2017,,,,"86,923.00","3,42,824.00",3.94,"99,099.00","4,12,252.00",4.16,,,,,,
,,2017 - 2018,,,,"91,750.00","3,22,501.00",3.51,"81,531.00","3,31,260.00",4.06,,,,,,
,,2018 - 2019,,,,"1,01,266.00","4,25,722.00",4.2,"67,088.00","2,65,937.00",3.96,,,,,,
,,2019 - 2020,,,,"1,43,238.00","5,94,581.00",4.15,"1,30,653.00","5,26,924.00",4.03,,,,,,
,,2020 - 2021,,,,"1,55,850.00","5,53,790.00",3.55,"1,55,989.00","6,57,962.00",4.22,,,,,,
,,2021 - 2022,,,,"1,59,166.00","6,02,284.00",3.78,"1,34,574.00","5,37,085.00",3.99,,,,,,
,,2022 - 2023,,,,"1,69,235.00","6,76,094.00",4,"1,61,805.00","6,29,421.00",3.89,,,,,,
,22. Peddapalli,2016 - 2017,,,,"37,754.00","1,43,050.00",3.79,"58,685.00","2,56,160.00",4.36,,,,,,
,,2017 - 2018,,,,"50,069.00","1,46,101.00",2.92,"38,596.00","1,57,780.00",4.09,,,,,,
,,2018 - 2019,,,,"57,805.00","2,31,104.00",4,"40,312.00","1,57,015.00",3.89,,,,,,
,,2019 - 2020,,,,"77,960.00","2,98,821.00",3.83,"77,967.00","3,18,027.00",4.08,,,,,,
,,2020 - 2021,,,,"82,999.00","2,35,440.00",2.84,"79,962.00","3,31,602.00",4.15,,,,,,
,,2021 - 2022,,,,"85,426.00","2,53,971.00",2.97,"67,679.00","2,56,233.00",3.79,,,,,,
,,2022 - 2023,,,,"86,696.00","3,01,789.00",3.48,"83,904.00","3,23,030.00",3.85,,,,,,
,23. Rajanna,2016 - 2017,,,,"18,093.00","68,554.00",3.79,"36,173.00","1,44,186.00",3.99,,,,,,
,,2017 - 2018,,,,"22,724.00","70,513.00",3.1,"22,901.00","74,062.00",3.23,,,,,,
,,2018 - 2019,,,,"22,978.00","85,019.00",3.7,"19,023.00","67,037.00",3.52,,,,,,
,,2019 - 2020,,,,"40,746.00","1,76,878.00",4.34,"53,823.00","2,12,601.00",3.95,,,,,,
,,2020 - 2021,,,,"60,223.00","1,80,359.00",2.99,"67,650.00","2,74,321.00",4.06,,,,,,
,,2021 - 2022,,,,"70,135.00","2,52,346.00",3.6,"48,112.00","2,07,651.00",4.32,,,,,,
,,2022 - 2023,,,,"71,799.00","2,56,251.00",3.57,"69,204.00","2,55,155.00",3.69,,,,,,
,24. Rangareddi,2013 - 2014,,,,"27,054.00","62,711.00",2.32,"17,986.00","40,163.00",2.23,,,,,,
,,2014 - 2015,,,,"23,817.00","60,376.00",2.53,"11,065.00","30,838.00",2.79,,,,,,
,,2015 - 2016,,,,"17,116.00","44,399.00",2.59,"7,167.00","17,007.00",2.37,,,,,,
,,2016 - 2017,,,,"10,508.00","27,636.00",2.63,"7,903.00","24,397.00",3.09,,,,,,
,,2017 - 2018,,,,"13,256.00","32,954.00",2.49,"12,099.00","37,713.00",3.12,,,,,,
,,2018 - 2019,,,,"13,475.00","41,651.00",3.09,"6,552.00","12,599.00",1.92,,,,,,
,,2019 - 2020,,,,"14,396.00","47,507.00",3.3,"16,222.00","44,659.00",2.75,,,,,,
,,2020 - 2021,,,,"28,847.00","87,688.00",3.04,"40,215.00","1,48,353.00",3.69,,,,,,
,,2021 - 2022,,,,"52,784.00","1,79,202.00",3.4,"6,573.00","20,672.00",3.14,,,,,,
,,2022 - 2023,,,,"50,786.00","1,80,747.00",3.56,"36,605.00","1,35,182.00",3.69,,,,,,
,25. Sangareddy,2016 - 2017,,,,"11,530.00","35,309.00",3.06,"14,876.00","69,173.00",4.65,,,,,,
,,2017 - 2018,,,,"21,040.00","66,594.00",3.17,"18,317.00","81,437.00",4.45,,,,,,
,,2018 - 2019,,,,"18,058.00","54,716.00",3.03,"5,968.00","16,311.00",2.73,,,,,,
,,2019 - 2020,,,,"22,020.00","85,526.00",3.88,"9,494.00","29,754.00",3.13,,,,,,
,,2020 - 2021,,,,"31,655.00","93,467.00",2.95,"32,972.00","1,22,293.00",3.71,,,,,,
,,2021 - 2022,,,,"46,045.00","1,74,649.00",3.79,"8,777.00","30,553.00",3.48,,,,,,
,,2022 - 2023,,,,"56,729.00","2,33,723.00",4.12,"44,318.00","1,51,213.00",3.41,,,,,,
,26. Siddipet,2016 - 2017,,,,"22,772.00","69,773.00",3.06,"48,653.00","1,88,482.00",3.87,,,,,,
,,2017 - 2018,,,,"34,495.00","1,13,178.00",3.28,"45,375.00","1,69,884.00",3.74,,,,,,
,,2018 - 2019,,,,"34,756.00","1,14,764.00",3.3,"29,250.00","69,908.00",2.39,,,,,,
,,2019 - 2020,,,,"49,501.00","1,85,183.00",3.74,"65,196.00","2,47,419.00",3.8,,,,,,
,,2020 - 2021,,,,"91,694.00","2,99,779.00",3.27,"1,11,270.00","4,74,344.00",4.26,,,,,,
,,2021 - 2022,,,,"1,28,351.00","4,44,094.00",3.46,"98,592.00","4,12,312.00",4.18,,,,,,
,,2022 - 2023,,,,"1,48,181.00","5,06,186.00",3.42,"1,41,107.00","4,28,401.00",3.04,,,,,,
,27. Suryapet,2016 - 2017,,,,"67,784.00","2,28,364.00",3.37,"73,140.00","2,69,740.00",3.69,,,,,,
,,2017 - 2018,,,,"67,674.00","2,31,648.00",3.42,"87,908.00","3,28,864.00",3.74,,,,,,
,,2018 - 2019,,,,"93,032.00","3,08,215.00",3.31,"82,472.00","2,97,147.00",3.6,,,,,,
,,2019 - 2020,,,,"1,27,779.00","4,51,315.00",3.53,"1,52,048.00","5,51,630.00",3.63,,,,,,
,,2020 - 2021,,,,"1,62,517.00","5,14,819.00",3.17,"1,74,690.00","6,69,936.00",3.83,,,,,,
,,2021 - 2022,,,,"1,90,170.00","6,25,469.00",3.29,"1,77,233.00","5,74,944.00",3.24,,,,,,
